district,hazard,rp,dk_tot,dw_tot,res_tot,fa,dk_famax,dw_famax
Kurunegala,PF,250.0,14862.522222868181,34145.82735568228,0.435266132756185,0.21,0.0,0.0
Kurunegala,PF,500.0,15827.350660294976,35868.41907676038,0.4412614513737999,0.23,0.0,0.0
Kurunegala,PF,1000.0,17491.22807348984,40878.863433309416,0.42787951044738265,0.25,0.0,0.0
Mannar,PF,5.0,1505.6065672513867,10031.181389036434,0.15009264700336666,0.43,0.0,0.0
Mannar,PF,10.0,1803.2349316814582,12362.408177592642,0.14586437413948955,0.51,0.0,0.0
Mannar,PF,25.0,1925.8519962449486,13504.863652178828,0.14260432728872746,0.56,0.0,0.0
Mannar,PF,50.0,1979.3377781168545,13342.582025438689,0.14834743187960847,0.59,0.0,0.0
Mannar,PF,100.0,2076.4854227413393,13929.83170623564,0.14906751686108366,0.61,0.0,0.0
Mannar,PF,250.0,2226.755000381463,14874.876983389957,0.1496990531664881,0.66,0.0,0.0
Mannar,PF,500.0,2616.4371254482176,17764.4631405428,0.14728489708630008,0.75,0.0,0.0
Mannar,PF,1000.0,2760.5212725317247,18574.83376882479,0.14861620334739506,0.81,0.0,0.0
Matale,PF,5.0,633.7562566875288,1391.425603809626,0.4554726138087071,0.03,0.0,0.0
Matale,PF,10.0,932.9006740612357,2108.6723924979387,0.4424113851825599,0.05,0.0,0.0
Matale,PF,25.0,1268.5872837368765,2840.3480208688684,0.4466309319900922,0.06,0.0,0.0
Matale,PF,50.0,1420.8464183282874,3142.3908670652777,0.4521545786107874,0.07,0.0,0.0
Matale,PF,100.0,1577.0463775797064,3392.3065039924745,0.4648891176913551,0.08,0.0,0.0
Matale,PF,250.0,1812.062830031384,4010.876487624064,0.4517872429187669,0.09,0.0,0.0
Matale,PF,500.0,1812.0628300313833,3959.044363175754,0.4577020775230298,0.09,0.0,0.0
Matale,PF,1000.0,2001.2224137120027,4286.946919231256,0.4668176330186205,0.1,0.0,0.0
Moneragala,PF,5.0,147.76421086963984,692.4310307134415,0.2133991752469441,0.01,0.0,0.0
Moneragala,PF,10.0,187.8749326969683,914.0236412854201,0.2055471261473652,0.01,0.0,0.0
Moneragala,PF,25.0,187.87493269696807,911.844625419425,0.20603831777870105,0.01,0.0,0.0
Moneragala,PF,50.0,218.5342775419951,1056.9125503124847,0.2067666596232428,0.02,0.0,0.0
Moneragala,PF,100.0,236.5149459473485,1122.5123773888117,0.21070141471181786,0.02,0.0,0.0
Moneragala,PF,250.0,288.15173726528906,1358.0871948190836,0.212174695678266,0.02,0.0,0.0
Moneragala,PF,500.0,301.0609350947732,1444.0438592171274,0.20848461989097067,0.02,0.0,0.0
Moneragala,PF,1000.0,350.16199112477835,1697.502502296026,0.20628069216460804,0.03,0.0,0.0
Mullaitivu,PF,5.0,86.07709686344194,805.743747663166,0.10682936989965412,0.03,0.0,0.0
Mullaitivu,PF,10.0,118.06520718431558,1147.9999724494453,0.10284425959732754,0.04,0.0,0.0
Mullaitivu,PF,25.0,143.88833624334814,1357.6842942248759,0.10598070321311062,0.05,0.0,0.0
