district,hazard,rp,c,di0,dc_post_reco
Ampara,PF,25.0,101437.23263677099,13352.918082328672,479.8664789046642
Ampara,PF,25.0,88562.01819928453,7745.266751734975,330.86946442809386
Ampara,PF,25.0,102759.5853396134,7471.4830434446785,233.0545180924808
Ampara,PF,25.0,97794.17683859401,18323.00269265381,676.5128933221098
Ampara,PF,25.0,204267.8328235089,22330.41184758539,255.8198336654852
Ampara,PF,25.0,156099.1182617592,13540.93254691362,212.5010052212659
Ampara,PF,25.0,257852.65993377523,20137.91255698385,159.35532029833755
Ampara,PF,25.0,117990.78178287482,9605.831766149195,237.5275241142552
Ampara,PF,25.0,57667.84097989867,5872.120032901798,609.3821775722145
Ampara,PF,25.0,43977.842498563914,5546.674409610194,1310.145713495013
Ampara,PF,25.0,49827.960058743854,8170.959764404539,1397.2370856615844
Ampara,PF,25.0,58331.09152734977,4620.418831538562,425.18810970656517
Ampara,PF,25.0,69595.25915863803,4882.828679052639,367.7784224602742
Ampara,PF,25.0,95620.92915932668,12020.657966522751,472.76725656683897
Ampara,PF,25.0,82436.25522094237,14407.017841350935,725.8511327343979
Ampara,PF,25.0,51912.855190173665,11322.23614050068,1706.700606202085
Ampara,PF,25.0,78024.03597295268,5876.231720295284,328.16652882555337
Ampara,PF,25.0,119609.94373455715,20687.370824004818,530.1741101611141
Ampara,PF,25.0,69325.58437820022,9332.753435167988,630.2025042398253
Ampara,PF,25.0,75727.97127961135,7926.288494722306,521.8070714287558
Ampara,PF,25.0,71824.95543833419,6033.049539866912,434.58779060817017
Ampara,PF,25.0,100972.37835364637,19204.192918782857,674.327112285851
Ampara,PF,25.0,111968.59384187758,17416.517888954833,476.9301966895248
Ampara,PF,25.0,90893.70750240449,11134.669755344905,491.146023609996
Ampara,PF,25.0,75524.14343415582,7919.94865222008,523.9555152063739
Ampara,PF,25.0,83592.4495875837,7720.826040828254,380.35775289575145
Ampara,PF,25.0,109560.14756703061,11732.026452250071,341.71430872277784
Ampara,PF,25.0,109459.8244471902,13130.16144611262,393.0176174565663
Ampara,PF,25.0,109595.16280848408,9842.182160514167,281.7337021991136
Ampara,PF,25.0,70164.1630832839,8322.46466326368,520.4930643754468
Ampara,PF,25.0,100676.57690626726,11387.072848439593,399.6554426239486
Ampara,PF,25.0,84970.33097905641,9442.652648893058,473.23744895557337
Ampara,PF,25.0,132832.5215546286,18354.2502904633,413.3408049695481
Ampara,PF,25.0,84085.35239159824,14913.311036958774,727.5246349800357
Ampara,PF,25.0,127977.7544198016,12078.698491567957,265.50847241483416
Ampara,PF,25.0,63104.103698321276,8625.777834244336,769.9854126548199
Ampara,PF,25.0,109066.06704154151,15588.51284205133,501.3329922359298
Ampara,PF,25.0,94159.17173348207,7756.069075351097,286.6574202409292
Ampara,PF,25.0,121583.26586937431,9986.27805860433,235.7284407676333
Ampara,PF,25.0,235448.6944026397,19588.53686664287,179.82681718661078
Ampara,PF,25.0,134964.2208608794,16169.073689858657,339.4974496891181
Ampara,PF,25.0,84332.3692170995,12876.847184466636,584.2416295419594
Ampara,PF,25.0,64345.15846355207,6399.992164667641,477.584473503023
Ampara,PF,25.0,70960.51373529609,5397.142283976259,391.874022261121
Ampara,PF,25.0,355291.5926167329,52191.72460045872,319.9911770717761
Ampara,PF,25.0,91243.5903886416,8313.603038441599,334.6213982796765
Ampara,PF,25.0,110655.94415775119,14023.993676673723,421.9065114355008
Ampara,PF,25.0,109928.76852926641,9758.311246462403,269.3368780348441
Ampara,PF,25.0,141924.83602262445,19170.81517063406,389.5387166611541
Ampara,PF,25.0,111951.95339915203,14932.804596939131,448.066194734868
Ampara,PF,25.0,160569.655230329,20473.44467660476,335.86968121589274
Ampara,PF,25.0,102502.77174642302,11682.412168115909,397.73951876384217
Ampara,PF,25.0,183804.3538493617,24129.684550361435,325.15687862838564
Ampara,PF,25.0,56957.24134172043,5523.167573734349,592.1387066495131
Ampara,PF,25.0,56321.980722051034,9144.025552331275,1370.2208455924224
Ampara,PF,25.0,47926.4935821537,4509.347738132561,1042.9736950155743
Ampara,PF,25.0,164644.84106070735,19390.01102483689,300.40197830033816
Ampara,PF,25.0,112096.1393197824,13590.977494250139,396.61158030932023
Ampara,PF,25.0,103488.57735445203,7178.017751293167,213.20027008145732
Ampara,PF,25.0,110492.10610863435,9824.511024540501,268.683321604882
Ampara,PF,25.0,106788.6583938474,9309.666258586949,268.79247238782693
Ampara,PF,25.0,97012.81430365644,8368.63597487807,299.2267355646726
Ampara,PF,25.0,113176.36186234644,11145.193964164388,307.1265493927189
Ampara,PF,25.0,79599.17692245294,11947.9900730741,616.3191676365731
Ampara,PF,25.0,92027.65406586663,8665.775095612256,350.45555393338134
