region,hazard,rp,new_pov,new_sub,init_pov,init_sub,reg_pop
IVA - CALABARZON,SS,50,8443.90601996647,3942.3750026404623,957267.2336999996,330698.8042,14127199.83448998
IVA - CALABARZON,SS,100,10722.501914165034,5096.920147344713,957267.2336999999,330698.8042,14127199.834489983
IVA - CALABARZON,SS,200,13012.099823932846,5822.974271181261,957267.2337000003,330698.8042,14127199.834490066
IVA - CALABARZON,SS,250,14663.16275396567,7005.065731837753,957267.2337000002,330698.8042,14127199.834490005
IVA - CALABARZON,SS,500,15506.659103811773,7066.384253798527,957267.2337000001,330698.8042000001,14127199.834490003
IVA - CALABARZON,SS,1000,17411.656375921313,8428.367649491765,957267.2336999999,330698.8042,14127199.83449
IVA - CALABARZON,SS,2000,0.0073629504279335446,0.0036881296760178863,957267.2337000004,330698.8042,14127199.834489945
IVB - MIMAROPA,EQ,1,319.12534042985345,342.6664421251053,479538.30569999985,274683.83259999997,3089300.040979998
IVB - MIMAROPA,EQ,10,420.2771819409116,459.71516123726013,479538.3056999999,274683.83259999997,3089300.040979999
IVB - MIMAROPA,EQ,25,3712.7019736776983,4022.3209483930345,479538.3057,274683.83260000014,3089300.0409800056
IVB - MIMAROPA,EQ,30,5414.624250696573,5590.733677201117,479538.30570000014,274683.83260000014,3089300.0409800056
IVB - MIMAROPA,EQ,50,13147.366591107424,14606.894468518973,479538.30570000014,274683.8326,3089300.040979989
IVB - MIMAROPA,EQ,100,32140.242201944933,37853.318481459035,479538.3056999998,274683.8325999999,3089300.040979997
IVB - MIMAROPA,EQ,200,70660.08291348572,79884.0897697963,479538.30570000014,274683.8325999999,3089300.0409800005
IVB - MIMAROPA,EQ,250,90701.15743152265,95334.57666478734,479538.3056999999,274683.8325999999,3089300.0409799945
IVB - MIMAROPA,EQ,500,144648.46836943406,156551.73675877153,479538.3057,274683.8326000001,3089300.0409799987
IVB - MIMAROPA,EQ,1000,189751.3889302734,200231.08172258048,479538.30570000026,274683.8326,3089300.0409799987
IVB - MIMAROPA,EQ,2000,161779.7951663896,183380.70625171857,479538.3056999999,274683.8326000001,3089300.040980005
IVB - MIMAROPA,HU,1,1002.3142850809403,946.7753062641851,479538.30569999997,274683.8325999999,3089300.0409800033
IVB - MIMAROPA,HU,10,4086.5633495912894,3521.973134012786,479538.30570000014,274683.83260000014,3089300.0409800005
IVB - MIMAROPA,HU,25,14615.417918686595,12896.664442153986,479538.3057000001,274683.83259999997,3089300.040980003
IVB - MIMAROPA,HU,30,19373.269402333168,16194.979656075764,479538.3057000001,274683.83259999997,3089300.040979999
IVB - MIMAROPA,HU,50,29875.406981304328,26784.889961100846,479538.30569999997,274683.83259999997,3089300.0409799973
IVB - MIMAROPA,HU,100,57681.53671683256,48462.61444545635,479538.30570000026,274683.83260000014,3089300.040979995
IVB - MIMAROPA,HU,200,92687.73204538641,76889.6544504983,479538.3056999999,274683.8326,3089300.04097999
IVB - MIMAROPA,HU,250,103429.38911890134,81788.05247718922,479538.30570000026,274683.83259999997,3089300.0409800014
IVB - MIMAROPA,HU,500,147507.0593575711,141814.86094094862,479538.3057000003,274683.8326000001,3089300.0409800075
IVB - MIMAROPA,HU,1000,230879.42996754043,193116.09290469394,479538.3056999998,274683.8326000001,3089300.0409799903
IVB - MIMAROPA,HU,2000,0.003678826433485217,0.0032648692254051803,479538.3057000004,274683.8326,3089300.040979997
IVB - MIMAROPA,PF,1,133.5804042760148,123.47760684614542,479538.3056999999,274683.83260000014,3089300.040980002
IVB - MIMAROPA,PF,10,414.52597376906573,377.0207749218346,479538.30570000014,274683.83259999997,3089300.0409800005
IVB - MIMAROPA,PF,25,2071.140394862371,1667.3655643750499,479538.3057,274683.8326,3089300.0409799996
IVB - MIMAROPA,PF,30,2388.53854780103,2325.140749264666,479538.3057000002,274683.8326,3089300.0409799987
IVB - MIMAROPA,PF,50,5150.578334233464,4358.324484267493,479538.30570000014,274683.8325999999,3089300.0409799963
IVB - MIMAROPA,PF,100,9687.899663083037,9186.773504523377,479538.3056999997,274683.83259999997,3089300.040979996
IVB - MIMAROPA,PF,200,16954.393782903717,14307.450371678884,479538.30570000014,274683.83259999997,3089300.0409799935
IVB - MIMAROPA,PF,250,19887.161822457958,15936.000806289214,479538.30570000026,274683.83259999997,3089300.040980003
IVB - MIMAROPA,PF,500,24960.754014496724,21822.306118714954,479538.3057000002,274683.8325999999,3089300.040980003
IVB - MIMAROPA,PF,1000,34597.54544048454,29349.77020079839,479538.30569999985,274683.83259999997,3089300.040979986
IVB - MIMAROPA,PF,2000,13074.807522784484,11692.939925754798,479538.30570000043,274683.8326,3089300.040979997
IVB - MIMAROPA,SS,1,30.727202816082826,26.95381618451683,479538.3057000002,274683.8326,3089300.040980002
IVB - MIMAROPA,SS,10,134.215319818204,118.85647162679427,479538.30569999997,274683.83259999997,3089300.040979993
IVB - MIMAROPA,SS,25,1134.8636573969063,972.7747381253358,479538.30569999997,274683.8326,3089300.0409800024
IVB - MIMAROPA,SS,30,1388.2407823011486,1191.024020562274,479538.30569999985,274683.8326000001,3089300.0409799945
IVB - MIMAROPA,SS,50,4166.864642780943,3894.5094779439532,479538.3056999999,274683.8326000002,3089300.040979993
IVB - MIMAROPA,SS,100,5349.834130590449,4946.1182187434915,479538.30569999997,274683.83260000014,3089300.040980003
IVB - MIMAROPA,SS,200,6724.758722511033,5835.192686414807,479538.30570000014,274683.8325999999,3089300.0409800084
IVB - MIMAROPA,SS,250,6611.950044366163,6082.909323517597,479538.3057,274683.8326000001,3089300.040980007
IVB - MIMAROPA,SS,500,7359.683266590927,6706.619418722111,479538.30569999974,274683.8326000001,3089300.0409799945
IVB - MIMAROPA,SS,1000,8777.150543086322,6882.099144291633,479538.3056999998,274683.8326,3089300.040979991
IVB - MIMAROPA,SS,2000,47602.70052888554,44742.31382402268,479538.30570000014,274683.8325999999,3089300.0409799963
IX - Zamboanga Peninsula,EQ,1,152.2260711566612,158.47015807626184,775760.7985300003,498896.4558000003,3764699.5852400265
IX - Zamboanga Peninsula,EQ,10,167.21666750616282,206.07654001749825,775760.7985300007,498896.4557999997,3764699.5852399906
IX - Zamboanga Peninsula,EQ,25,2335.605198170821,2523.7306366601797,775760.7985299996,498896.45579999994,3764699.585239998
IX - Zamboanga Peninsula,EQ,30,3292.2782302076894,3697.720970523392,775760.7985299993,498896.4558000003,3764699.5852400023
IX - Zamboanga Peninsula,EQ,50,8251.169321209352,10438.889524525626,775760.7985300005,498896.4558000002,3764699.585239995
IX - Zamboanga Peninsula,EQ,100,27357.983281718585,31684.310420913178,775760.7985299999,498896.4558000001,3764699.585239996
IX - Zamboanga Peninsula,EQ,200,52718.06040234783,60401.963497329605,775760.7985299994,498896.4558,3764699.5852399943
IX - Zamboanga Peninsula,EQ,250,60913.957585643715,68230.78388269535,775760.7985300001,498896.4558000001,3764699.5852400153
IX - Zamboanga Peninsula,EQ,500,88932.43403505167,93247.95088094409,775760.7985300003,498896.4558000001,3764699.585239987
IX - Zamboanga Peninsula,EQ,1000,106729.68599024435,122136.9255452212,775760.7985299997,498896.45580000005,3764699.585240004
IX - Zamboanga Peninsula,EQ,2000,244438.43847264376,285624.57553375966,775760.7985299994,498896.4557999995,3764699.585240014
