,region,hazard,rp,hhid,helped_cat,affected_cat,pcwgt,pcexp,pcsoc,c,pov_line,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
1424507,NCR,PF,500,1374450418004,not_helped,na,368.7241460780951,346013.8746382119,13075.012975795642,346013.874638212,22302.6775,0.9650000000000006,0,0,0.0,0.0017254656849746133,0.0,0.9650000000000006,79.93085977049506,0.0,79.93085977049506,0,15573.959716184301,0,0.003400033834407502,9.920029989112894e-05,-1,0.0,0.0,0.0,-131.21,67.56,0.0,10.0,0.0,22.56,22.56,0.0,22.56,22.56,0.0,79.93
1424525,NCR,PF,500,1374481214338,not_helped,na,1021.6856848781508,562113.3534135697,113098.86679769127,562113.3534135699,22302.6775,1.0350000000000006,0,0,0.0,0.0017254656849746133,0.0,1.0350000000000006,691.4019648732358,0.0,691.4019648732358,0,15573.959716184301,0,0.002667583635029616,0.0005284615570126311,-1,0.0,0.0,0.0,-131.21,136.86,0.0,10.0,0.0,195.15,195.15,0.0,195.15,195.15,0.0,691.4
1424535,NCR,PF,500,1374497135158,not_helped,na,533.1681164896763,319789.790627268,32687.53588219996,319789.79062726814,22302.6775,0.7950000000000005,0,0,0.0,0.0017254656849746133,0.0,0.7950000000000005,199.82717047239944,0.0,199.82717047239944,0,15573.959716184301,0,0.0035366957320652577,0.00026839196228299763,-1,0.0,0.0,0.0,-131.21,40.2,0.0,10.0,0.0,56.4,56.4,0.0,56.4,56.4,0.0,199.83
1424539,NCR,PF,500,1374512111373,not_helped,na,2309.9739216338194,369569.6098922847,64761.63056974304,369569.6098922849,22302.6775,0.6750000000000004,0,0,0.0,0.0017254656849746133,0.0,0.6750000000000004,395.90421983988426,0.0,395.90421983988426,0,15573.959716184301,0,0.003289893732212507,0.0004602209566895147,-1,0.0,0.0,0.0,-131.21,50.77,0.0,10.0,0.0,111.74,111.74,0.0,111.74,111.74,0.0,395.9
1424556,NCR,PF,500,1375115415153,not_helped,na,1179.2198327515346,266038.74969652115,5735.209334191266,266038.74969652126,22302.6775,0.7950000000000005,0,0,0.0,0.0017254656849746133,0.0,0.7950000000000005,35.06078455863105,0.0,35.06078455863105,0,15573.959716184301,0,0.003877551249725433,5.659166809096163e-05,-1,0.0,0.0,0.0,-131.21,24.2,0.0,10.0,0.0,9.9,9.9,0.0,9.9,9.9,0.0,35.06
1424567,NCR,PF,500,1375117148002,not_helped,na,368.9420349747769,337182.7946632045,7308.93229044392,337182.7946632045,22302.6775,0.4250000000000002,0,0,0.0,0.0017254656849746133,0.0,0.4250000000000002,44.681350837739096,0.0,44.681350837739096,0,15573.959716184301,0,0.003444270823174293,5.690291140032605e-05,-1,0.0,0.0,0.0,-131.21,65.73,0.0,10.0,0.0,12.61,12.61,0.0,12.61,12.61,0.0,44.68
1424570,NCR,PF,500,1375117243367,not_helped,na,1411.0453806784574,261599.2642285623,933.9295274951708,261599.26422856242,22302.6775,0.7150000000000004,0,0,0.0,0.0017254656849746133,0.0,0.7150000000000004,5.7093473051179595,0.0,5.7093473051179595,0,15573.959716184301,0,0.003910314934073339,9.37104822775795e-06,-1,0.0,0.0,0.0,-131.21,24.41,0.0,10.0,0.0,1.61,1.61,0.0,1.61,1.61,0.0,5.71
1424576,NCR,PF,500,1375117821485,not_helped,na,509.93757490061574,555476.7149378465,59144.825757751365,555476.7149378468,22302.6775,0.8450000000000005,0,0,0.0,0.0017254656849746133,0.0,0.8450000000000005,361.5672720589029,0.0,361.5672720589029,0,15573.959716184301,0,0.0026834719896859874,0.0002795807995804129,-1,0.0,0.0,0.0,-131.21,165.11,0.0,10.0,0.0,102.05,102.05,0.0,102.05,102.05,0.0,361.57
1424593,NCR,PF,500,1375119126659,not_helped,na,1461.0104051132714,259213.2372591225,10936.522615635207,259213.23725912254,22302.6775,0.7550000000000004,0,0,0.0,0.0017254656849746133,0.0,0.7550000000000004,66.85772757437671,0.0,66.85772757437671,0,15573.959716184301,0,0.003928270700123416,0.00011076446248623217,-1,0.0,0.0,0.0,-131.21,17.02,0.0,10.0,0.0,18.87,18.87,0.0,18.87,18.87,0.0,66.86
1424670,NCR,PF,500,1375411258002,not_helped,na,1137.3787366897623,412211.0491814325,16343.7669422842,412211.04918143264,22302.6775,0.7150000000000004,0,0,0.0,0.0017254656849746133,0.0,0.7150000000000004,99.91357913018635,0.0,99.91357913018635,0,15573.959716184301,0,0.0031150870064932824,0.00010408781543122803,-1,0.0,0.0,0.0,-131.21,105.13,0.0,10.0,0.0,28.2,28.2,0.0,28.2,28.2,0.0,99.91
1424709,NCR,PF,500,1376113218001,not_helped,na,1843.6206536852383,733809.8554388257,142554.2574035826,733809.8554388257,22302.6775,0.8450000000000005,0,0,0.0,0.0017254656849746133,0.0,0.8450000000000005,871.4702141639319,0.0,871.4702141639319,0,15573.959716184301,0,0.0023347383958166766,0.0005102310632871301,-1,0.0,0.0,0.0,-131.21,221.78,0.0,10.0,0.0,245.97,245.97,0.0,245.97,245.97,0.0,871.47
1424717,NCR,PF,500,1376116718001,not_helped,na,1226.4653497080146,270957.13566412096,27095.7862053757,270957.1356641211,22302.6775,0.8450000000000005,0,0,0.0,0.0017254656849746133,0.0,0.8450000000000005,165.64339106679984,0.0,165.64339106679984,0,15573.959716184301,0,0.0038421976260770386,0.00026257183742153665,-1,0.0,0.0,0.0,-131.21,14.38,0.0,10.0,0.0,46.75,46.75,0.0,46.75,46.75,0.0,165.64
1424721,NCR,PF,500,1376117228002,not_helped,na,1343.3586850707338,305186.440125353,51562.043420747665,305186.44012535305,22302.6775,1.1150000000000009,0,0,0.0,0.0017254656849746133,0.0,1.1150000000000009,315.21180665544716,0.0,315.21180665544716,0,15573.959716184301,0,0.003620323496702791,0.00044371330921870423,-1,0.0,0.0,0.0,-131.21,20.21,0.0,10.0,0.0,88.97,88.97,0.0,88.97,88.97,0.0,315.21
1424737,NCR,PF,500,1376210528001,not_helped,na,2623.3458810607544,237629.4928181113,1225.0282227704754,237629.49281811138,22302.6775,0.6150000000000003,0,0,0.0,0.0017254656849746133,0.0,0.6150000000000003,7.488907221004663,0.0,7.488907221004663,0,15573.959716184301,0,0.004102795071293301,1.3532000060319944e-05,-1,0.0,0.0,0.0,-131.21,9.93,0.0,10.0,0.0,2.11,2.11,0.0,2.11,2.11,0.0,7.49
1424750,NCR,PF,500,1376218328003,not_helped,na,407.51422229704406,341305.79711564875,67779.78100513708,341305.7971156488,22302.6775,1.1150000000000009,0,0,0.0,0.0017254656849746133,0.0,1.1150000000000009,414.3549364597704,0.0,414.3549364597704,0,15573.959716184301,0,0.003423404074496783,0.000521593334471577,-1,0.0,0.0,0.0,-131.21,32.09,0.0,10.0,0.0,116.95,116.95,0.0,116.95,116.95,0.0,414.35
2457797,XII - SOCCSKSARGEN,EQ,30,12636244128002,not_helped,na,2303.2443457657673,1334611.2733333968,315760.36263792537,1334611.273333397,22302.6775,0.6150000000000003,0,0,0.0,5.579655374832846e-05,0.0,0.6150000000000003,33.67329245642435,0.0,33.67329245642435,0,15573.959716184301,0,0.0017312213573858583,1.3759313764074442e-05,-1,0.0,0.0,0.0,-19.75,8.53,0.0,10.0,0.0,17.62,17.62,0.0,17.62,17.62,0.0,33.67
2458829,XII - SOCCSKSARGEN,EQ,50,128075211183,helped,a,14.15976587968191,352024.4075782565,0.0,352024.40757825656,22302.6775,1.1150000000000009,82522,7528,90050.0,0.00012200198006137709,2371.7558775811294,1.1150000000000009,118011.23809375007,2371.7558775811294,120382.9939713312,1,15573.959716184301,0,0.0033708824463347907,0.14624661471635425,-1,0.0,0.0,13577.889999999992,-19.75,0.34,0.0,10.0,213435.12554968064,4748.98,4277.82,471.16,19888.33,19888.33,0.0,120383.0
