,district,hazard,rp,level_0,hhid,helped_cat,affected_cat,pov_line,ispoor,has_ew,pcwgt,pcwgt_ae,pcsoc,c,dk_private,dk_public,dk0,pc_fee_BE,pc_fee,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min,macro_multiplier,dc_npv_pre,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,t_pov_bool,dk_prv_t,sav_f,sav_i,sav_offset_to,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta,scale_fac_soc
49,Ampara,PF,5.0,49,52103067061,helped,a,43493.30859375,0.0,1,1.8010988102314913,1.8010988102314913,0.0,173242.29277537798,68068.46946053728,0.0,68068.46946053728,0.0,0.0,22363.71120548316,0.0,22363.71120548316,136895.49394725298,0.0,136895.49394725298,1.6825967095994376,1,36346.798828125,1.1595095417418158,158731.63145329882,0.0,0,0.0,0.004805106682568002,0.03820305388081939,-1.0,0.0,0.0,True,52517.91247080229,5431.7206510174265,14436.857731281498,62162.27533475534,17823.178689228243,0.0,17823.178689228243,109101.4290049423,62162.27533475534,870.7047955514179,1.8108348221871992e-05
50,Ampara,PF,5.0,50,52103067071,helped,a,43493.30859375,0.0,1,3.6021976204629826,3.6021976204629826,0.0,112472.31443681991,35910.9830500391,0.0,35910.9830500391,0.0,0.0,11798.456178035183,0.0,11798.456178035183,76125.51560869491,0.0,76125.51560869491,1.7912920774411851,1,36346.798828125,1.1501442187194972,87555.32167438131,0.0,0,0.0,0.005963581785685652,0.027525034133351972,-1.0,0.0,0.0,True,27246.601493985356,3989.9645243949644,9372.692869734992,31599.434624400925,9266.155818660867,0.0,9266.155818660867,59786.71096980224,31599.434624400925,523.4546524588187,1.8108348221871992e-05
51,Ampara,PF,5.0,51,52103067081,helped,a,43493.30859375,0.0,1,2.701648215347238,2.701648215347238,0.0,130928.62116746003,26745.3275196845,0.0,26745.3275196845,0.0,0.0,8787.104888454242,0.0,8787.104888454242,94581.82233933503,0.0,94581.82233933503,3.2078394772969627,1,36346.798828125,1.0850595032345105,102626.9051625336,0.0,0,0.0,0.005527295692134975,0.019852487905385248,-1.0,0.0,0.0,True,16311.903650813661,3765.9787427192296,10910.71843062167,28267.8323372562,5700.926561730406,0.0,5700.926561730406,61363.103101189234,28267.8323372562,601.8762400007281,1.8108348221871992e-05
52,Ampara,PF,5.0,52,52103067091,helped,a,43493.30859375,0.0,1,5.403296430694476,5.403296430694476,0.0,98520.44416939592,41137.12233069831,0.0,41137.12233069831,0.0,0.0,13515.490078144438,0.0,13515.490078144438,62173.64534127092,0.0,62173.64534127092,1.1828283678174458,1,36346.798828125,1.2236518008332349,76078.89308621304,0.0,0,0.0,0.006371868656419071,0.029888948749887574,-1.0,0.0,0.0,True,34280.844028352345,3995.602822394748,8210.037014116328,29493.94139188806,11522.512721129857,0.0,11522.512721129857,53005.59692780045,29493.94139188806,441.4683111337879,1.8108348221871992e-05
53,Ampara,PF,5.0,53,52103067101,helped,a,43493.30859375,0.0,1,3.6021976204629826,3.6021976204629826,0.0,112512.19319555954,24651.81379640831,0.0,24651.81379640831,0.0,0.0,8099.286627178253,0.0,8099.286627178253,76165.39436743454,0.0,76165.39436743454,2.761099378017097,1,36346.798828125,1.098529248829361,83669.9134612499,0.0,0,0.0,0.005962524827726458,0.01994935391520524,-1.0,0.0,0.0,True,16106.895831534794,3573.890249876652,9376.016099629962,24390.17479923055,5581.030146799013,0.0,5581.030146799013,52483.80279333118,24390.17479923055,514.8743843382181,1.8108348221871992e-05
54,Ampara,PF,5.0,54,52103068011,helped,a,43493.30859375,0.0,1,4.862958348560363,4.862958348560363,0.0,85913.1255691381,30759.28369015314,0.0,30759.28369015314,0.0,0.0,10105.879312196355,0.0,10105.879312196355,49566.326741013094,0.0,49566.326741013094,1.282879270737019,1,36346.798828125,1.2069886762318158,59825.99509880905,0.0,0,0.0,0.00682339065026466,0.024673544339645866,-1.0,0.0,0.0,True,25240.391137084105,3640.5712865066585,7159.427130761508,22144.648565930405,8500.196934080774,0.0,8500.196934080774,41690.933127325974,22144.648565930405,366.7676231948222,1.8108348221871992e-05
55,Ampara,PF,5.0,55,52103068021,helped,a,43493.30859375,0.0,1,4.0524652904669685,4.0524652904669685,0.0,95652.25555999498,20627.330401116596,0.0,20627.330401116596,0.0,0.0,6777.053512244691,0.0,6777.053512244691,59305.456731869985,0.0,59305.456731869985,2.5465439394320186,1,36346.798828125,1.1066395998103034,65629.76690432386,0.0,0,0.0,0.00646669514690269,0.01785077406020172,-1.0,0.0,0.0,True,13930.574895654601,3321.907234188252,7971.021296666248,18889.240519705534,4807.022750935329,0.0,4807.022750935329,42065.87409257226,18889.240519705534,426.99995996468533,1.8108348221871992e-05
56,Ampara,PF,5.0,56,52103068031,helped,a,43493.30859375,0.0,1,4.0524652904669685,4.0524652904669685,0.0,81181.01221371742,21985.773524115524,0.0,21985.773524115524,0.0,0.0,7223.366319519362,0.0,7223.366319519362,44834.21338559242,0.0,44834.21338559242,1.7106901890360537,1,36346.798828125,1.1569787895760133,51872.23393445541,0.0,0,0.0,0.007019444823970498,0.01938714595740623,-1.0,0.0,0.0,True,16889.72389841165,3339.1143758399267,6765.0843511431185,17184.112741043074,5735.0253239440635,0.0,5735.0253239440635,35596.33248152827,17184.112741043074,343.58308858697904,1.8108348221871992e-05
57,Ampara,PF,5.0,57,52103068041,helped,a,43493.30859375,0.0,1,1.6209861161867876,1.6209861161867876,0.0,71568.52042630437,34191.943893351185,0.0,34191.943893351185,0.0,0.0,11233.670520949505,0.0,11233.670520949505,35221.72159817937,0.0,35221.72159817937,0.7015702632190642,1,36346.798828125,1.3649837920589176,48077.07910992636,0.0,0,0.0,0.00747599455178319,0.023981542249127467,-1.0,0.0,0.0,True,30687.279061320314,3597.6698212160686,5964.043368858697,18032.23653869544,10219.436483569854,0.0,10219.436483569854,32041.72189698072,18032.23653869544,265.7782697281053,1.8108348221871992e-05
58,Ampara,PF,5.0,58,52103068051,helped,a,43493.30859375,0.0,1,3.241972232373575,3.241972232373575,0.0,57577.27530452685,16295.550107660116,0.0,16295.550107660116,0.0,0.0,5353.858834059265,0.0,5353.858834059265,21230.476476401847,0.0,21230.476476401847,0.9742916033794646,1,36346.798828125,1.2687451021363678,26936.063045456216,0.0,0,0.0,0.008334977678081336,0.0,-1.0,0.0,0.0,True,14023.188035808518,9907.241072251729,4798.106275377238,0.0,4694.587422921306,0.0,4694.587422921306,18616.166570304355,0.0,355.34718840257966,1.8108348221871992e-05
59,Ampara,PF,5.0,59,52103068061,helped,a,43493.30859375,0.0,1,3.241972232373575,3.241972232373575,0.0,60476.37786207795,23304.149992490275,0.0,23304.149992490275,0.0,0.0,7656.515335980368,0.0,7656.515335980368,24129.57903395295,0.0,24129.57903395295,0.7068725400102986,1,36346.798828125,1.3624602369844527,32875.59196893462,0.0,0,0.0,0.00813274414595051,0.0,-1.0,0.0,0.0,True,20898.393658965728,13167.845322901623,5039.698155173162,0.0,6960.266053458362,0.0,6960.266053458362,21935.342967971555,0.0,419.7811234410711,1.8108348221871992e-05
60,Ampara,PF,5.0,60,52103068071,helped,a,43493.30859375,0.0,1,4.862958348560363,4.862958348560363,0.0,52360.93327150443,11296.811768556367,0.0,11296.811768556367,0.0,0.0,3711.536897140979,0.0,3711.536897140979,16014.13444337943,0.0,16014.13444337943,1.089032711023972,1,36346.798828125,1.2419085200292466,19888.090006126728,0.0,0,0.0,0.008740299331567137,0.013282695514624411,-1.0,0.0,0.0,True,9551.07991013153,8973.650092388614,4363.411105958702,8007.067221689715,3204.522278585921,0.0,3204.522278585921,13826.52308686729,8007.067221689715,109.35264414440073,1.8108348221871992e-05
61,Ampara,PF,5.0,61,52103068081,helped,a,43493.30859375,0.0,1,3.241972232373575,3.241972232373575,0.0,74836.00638684063,21764.15365515255,0.0,21764.15365515255,0.0,0.0,7150.553712064477,0.0,7150.553712064477,38489.20755871563,0.0,38489.20755871563,1.4399206301887089,1,36346.798828125,1.1853170074432744,45621.912322359865,0.0,0,0.0,0.0073109648177687924,0.01896597011553584,-1.0,0.0,0.0,True,17432.062883705476,3313.100794961381,6236.333865570053,15552.565869039492,5888.379590001704,0.0,5888.379590001704,31695.31666361627,15552.565869039492,302.6417985431555,1.8108348221871992e-05
