,district,hazard,rp,hhid,helped_cat,affected_cat,pcwgt,frac_remittance,pcsoc,pcsamurdhi,gsp_samurdhi,pov_line,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
99,Ampara,PF,5.0,522991,helped,a,7.398956819238089,0.0,0.0,0.0,0.0,52153.133146515145,76916.75841982503,238959.97779915752,0.8450000000000005,27951,0,27951.0,1.330734459983804e-06,0.0,0.86,31489.22631606381,0.0,31489.22631606381,2,45477.532103761216,500.0,50.0,0,0.00721139873111137,0.2026189327995622,-1,0.0,0.0,1001.9600000000028,0.18999999999986228,6411.31,0.0,0.912,7537.317311757862,327.9,327.9,0,1203.98,1194.12,-0.0,15115.0
100,Ampara,PF,5.0,5211011,helped,a,1.557236596542824,0.0,0.0,0.0,0.0,52153.133146515145,226713.40696377674,704338.4537753989,0.7150000000000004,106366,0,106366.0,1.330734459983804e-06,0.0,0.7150000000000004,110288.92085946808,0.0,110288.92085946808,1,45477.532103761216,500.0,50.0,0,0.004200407197318544,0.2915076097542673,-1,0.0,0.0,6671.249999999952,0.9299999999993851,18897.45,0.0,0.862,10532.821319330313,2177.14,2177.14,0,7013.25,6964.46,0.01,59556.0
101,Ampara,PF,5.0,5211021,helped,a,6.228946386171296,0.0,0.0,0.0,0.0,52153.133146515145,117876.15375142772,366209.96077015024,1.0350000000000006,33773,0,33773.0,1.330734459983804e-06,0.0,1.0350000000000006,45825.95357489062,0.0,45825.95357489062,1,45477.532103761216,500.0,50.0,0,0.005825282846643801,0.14213338092945682,-1,0.0,0.0,613.4200000000086,0.15999999999847825,9825.44,0.0,0.861,3897.9500695383276,201.43,201.43,0,849.11,840.29,0.01,18789.0
102,Ampara,PF,5.0,5211031,helped,a,7.786182982714119,0.0,52800.0,0.0,0.0,52153.133146515145,123392.4061229505,219113.83281386984,0.8450000000000005,27327,0,27327.0,1.330734459983804e-06,0.0,0.8450000000000005,31888.437797307954,0.0,31888.437797307954,1,45477.532103761216,500.0,50.0,0,0.005693584613722648,0.0985979959816449,-1,0.0,0.0,1035.9600000000066,0.1899999999995079,10284.15,0.0,1.242,8198.53923347871,339.0,339.0,0,1228.75,1218.89,-0.0,11161.0
103,Ampara,PF,5.0,5211031,helped,na,736.3372711314088,0.0,52800.0,0.0,0.0,52153.133146515145,123392.4061229505,219113.83281386984,0.0,0,0,0.0,1.330734459983804e-06,0.0,0.0,1.0713551489538198,0.0,1.0713551489538198,0,45477.532103761216,500.0,50.0,0,0.005693584613722648,0.0,-1,0.0,0.0,0.0,10281.529999999975,10284.15,0.0,10.0,0.0,0.07,0.07,0,0.07,0.0,0.0,0.0
104,Ampara,PF,5.0,5211041,helped,a,12.457892772342593,0.0,0.0,0.0,0.0,52153.133146515145,89024.60998653011,276575.8628288314,1.2150000000000007,19135,0,19135.0,1.330734459983804e-06,0.0,1.2150000000000007,29408.22448569959,0.0,29408.22448569959,1,45477.532103761216,500.0,50.0,0,0.006703088537627286,0.09016815235706799,-1,0.0,0.0,173.08000000000303,0.09000000000109615,7420.55,0.0,0.938,2207.289441403698,57.03,57.03,0,272.3,272.3,0.0,9411.0
105,Ampara,PF,5.0,5211051,helped,a,7.786182982714119,1.0,60000.0,0.0,0.0,52153.133146515145,135305.17242491923,233728.14031792534,1.0350000000000006,19958,0,19958.0,1.330734459983804e-06,0.0,1.0350000000000006,27081.85527947933,0.0,27081.85527947933,1,45477.532103761216,500.0,50.0,0,0.005437168549677177,0.048462764670869914,-1,0.0,0.0,362.490000000001,0.09999999999760804,11276.98,0.0,1.42,2879.252605177862,119.11,119.11,0,501.84,501.84,0.0,6229.0
106,Ampara,PF,5.0,5211051,helped,na,736.3372711314088,1.0,60000.0,0.0,0.0,52153.133146515145,135305.17242491923,233728.14031792534,0.0,0,0,0.0,1.330734459983804e-06,0.0,0.0,1.217449032902068,0.0,1.217449032902068,0,45477.532103761216,500.0,50.0,0,0.005437168549677177,0.0,-1,0.0,0.0,0.0,11274.089999999971,11276.98,0.0,10.0,0.0,0.08,0.08,0,0.08,0.0,0.0,0.0
107,Ampara,PF,5.0,5211061,helped,a,4.671709789628471,0.0,0.0,0.0,0.0,52153.133146515145,151094.2133532833,469409.665854765,0.3150000000000001,163548,0,163548.0,1.330734459983804e-06,0.0,0.3150000000000001,104160.66977722467,0.0,104160.66977722467,1,45477.532103761216,500.0,50.0,0,0.005145245241719704,0.9406169737328065,-1,0.0,0.0,48287.069999999985,1.8100000000001886,12594.29,0.0,0.999,226956.47344123435,15637.33,15637.33,0,30940.35,30845.89,0.01,76037.0
108,Ampara,PF,5.0,5211071,helped,a,6.228946386171296,0.0,0.0,0.0,0.0,52153.133146515145,156741.02317167097,486952.806992785,0.9650000000000006,47045,0,47045.0,1.330734459983804e-06,0.0,0.9650000000000006,60541.33275044354,0.0,60541.33275044354,1,45477.532103761216,500.0,50.0,0,0.005051712856761375,0.15289932975399068,-1,0.0,0.0,1120.5800000000133,0.2599999999992164,13064.98,0.0,0.899,7111.027483917097,367.46,367.46,0,1469.11,1455.1,0.01,25427.0
109,Ampara,PF,5.0,5211081,helped,a,7.786182982714119,0.0,0.0,0.0,0.0,52153.133146515145,137826.21269490154,428189.5051524528,1.0350000000000006,37929,0,37929.0,1.330734459983804e-06,0.0,1.0350000000000006,51465.152433660805,0.0,51465.152433660805,1,45477.532103761216,500.0,50.0,0,0.005387212223607107,0.13391038380516881,-1,0.0,0.0,688.8899999999934,0.1800000000045212,11488.36,0.0,0.885,5471.89581476195,226.21,226.21,0,953.58,943.72,0.01,20586.0
110,Ampara,PF,5.0,5211091,helped,a,4.671709789628471,0.0,0.0,0.0,0.0,52153.133146515145,112970.23741984977,350968.57928499096,0.5850000000000003,65572,0,65572.0,1.330734459983804e-06,0.0,0.5850000000000003,59466.02337999962,0.0,59466.02337999962,1,45477.532103761216,500.0,50.0,0,0.005950424852996815,0.39189780724052287,-1,0.0,0.0,6804.190000000008,0.6799999999988724,9416.51,0.0,0.873,32147.530009566228,2214.97,2214.97,0,6240.54,6205.25,0.0,35680.0
111,Ampara,PF,5.0,5211211,helped,a,5.050770895355168,0.0,0.0,0.0,0.0,52153.133146515145,91621.49171816892,284643.6859364093,0.8450000000000005,33962,0,33962.0,1.330734459983804e-06,0.0,0.8450000000000005,39629.62414859311,0.0,39629.62414859311,1,45477.532103761216,500.0,50.0,0,0.006607410915660515,0.2084286008128808,-1,0.0,0.0,1287.5100000000007,0.23999999999928812,7637.01,0.0,0.869,6609.640824497591,421.23,421.23,0,1527.03,1514.57,0.0,19022.0
112,Ampara,PF,5.0,5211231,helped,a,7.576156343032752,1.0,10833.333333333334,0.0,0.0,52153.133146515145,71852.98505254395,189531.24449698094,1.0350000000000006,16147,0,16147.0,1.330734459983804e-06,0.0,1.0350000000000006,21909.78285197046,0.0,21909.78285197046,1,45477.532103761216,500.0,50.0,0,0.007461181214389515,0.09857657895184309,-1,0.0,0.0,293.2500000000031,0.09000000000091718,5989.01,0.0,1.042,2266.482931581702,96.31,96.31,0,405.94,405.94,0.0,7449.0
113,Ampara,PF,5.0,5211231,helped,na,716.4751072095983,1.0,10833.333333333334,0.0,0.0,52153.133146515145,71852.98505254395,189531.24449698094,0.0,0,0,0.0,1.330734459983804e-06,0.0,0.0,0.21981718649620674,0.0,0.21981718649620674,0,45477.532103761216,500.0,50.0,0,0.007461181214389515,0.0,-1,0.0,0.0,0.0,5987.75,5989.01,0.0,10.0,0.0,0.01,0.01,0,0.01,0.0,0.0,0.0
114,Ampara,PF,5.0,5211241,helped,a,6.31346361919396,0.0,7200.0,7200.0,2.787759492846879e-07,52153.133146515145,70516.23965972067,196679.76346212238,1.2150000000000007,13708,0,13708.0,1.330734459983804e-06,0.0,1.2150000000000007,21067.715534697636,0.0,21067.715534697636,1,45477.532103761216,500.0,50.0,0,0.007531568373924116,0.07198650326664241,-1,0.0,0.0,123.96999999999524,0.09000000000026348,5877.65,0.0,1.078,801.2416679118753,40.86,40.86,0,195.06,195.06,0.0,5688.0
115,Ampara,PF,5.0,5211241,helped,na,597.062589341332,0.0,7200.0,7200.0,2.787759492846879e-07,52153.133146515145,70516.23965972067,196679.76346212238,0.0,0,0,0.0,1.330734459983804e-06,0.0,0.0,0.14609388394824815,0.0,0.14609388394824815,0,45477.532103761216,500.0,50.0,0,0.007531568373924116,0.0,-1,0.0,0.0,0.0,6476.35,5877.65,0.0,10.0,0.0,0.01,0.01,0,0.01,0.0,0.0,0.0
116,Ampara,PF,5.0,5211251,helped,a,3.788078171516376,0.0,0.0,0.0,0.0,52153.133146515145,148580.51527100816,461600.2722937978,1.2150000000000007,30887,0,30887.0,1.330734459983804e-06,0.0,1.2150000000000007,47469.65402089382,0.0,47469.65402089382,1,45477.532103761216,500.0,50.0,0,0.00518858655083705,0.08545229558608078,-1,0.0,0.0,279.37000000000955,0.09999999999891078,12384.77,0.0,0.964,1083.3524762720044,92.05,92.05,0,439.53,439.53,0.0,14716.0
