,district,hazard,rp,hhid,helped_cat,affected_cat,pov_line,ispoor,has_ew,pcwgt,pcwgt_ae,pcsoc,c,dk_private,dk_public,dk0,pc_fee_BE,pc_fee,scale_fac_soc,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min,macro_multiplier,dc_npv_pre,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,t_pov_bool,dk_prv_t,sav_f,sav_i,sav_offset_to,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta
66,Ampara,PF,5.0,52104072031,helped,a,43493.30859375,0.0,1,4.862958348560363,4.862958348560363,4999.999877929688,388132.9627445792,348436.1982886356,0.0,348436.1982886356,0.0,0.0,2.165880171765123e-05,114477.87713205974,0.0,114477.87713205974,351786.1639164542,0.0,351786.1639164542,0.6810666858091889,2,36346.798828125,1.3750820377055404,483734.83511485305,0,0,0.0,0.0032102564850938565,0.03907825872726436,-1.0,0.0,0.0,True,317855.35887881974,7938.838459327509,32344.413562048267,155162.51862057604,105810.05200078046,0.0,105810.05200078046,325150.2743216,155162.51862057604,3234.3668014521763
67,Ampara,PF,5.0,52104072041,helped,a,43493.30859375,0.0,1,2.4314791742801813,2.4314791742801813,8000.000244140625,288429.644044353,64709.93818036793,0.0,64709.93818036793,0.0,0.0,2.165880171765123e-05,21260.44812395316,0.0,21260.44812395316,244936.335450603,0.0,244936.335450603,3.456592505206718,1,36346.798828125,1.079042653414477,264296.75332223705,0,0,0.0,0.0037240032272112186,0.016766182811574642,-1.0,0.0,0.0,False,40597.549681260934,5781.948066874543,24035.803670362748,60429.57247166794,14256.957874650387,0.0,14256.957874650387,164250.46427504125,60429.57247166794,1897.3160035361009
68,Ampara,PF,5.0,52104072051,helped,a,43493.30859375,0.0,0,0.8104930580933938,0.8104930580933938,6000.0,137484.2297309482,44591.85824491643,0.0,44591.85824491643,0.0,0.0,2.165880171765123e-05,14650.66415474802,0.0,14650.66415474802,93990.9211371982,0.0,93990.9211371982,1.7792543326335841,1,36346.798828125,1.151126898361575,108195.47752281035,0,0,0.0,0.005393908229972148,0.017777084455953104,-1.0,0.0,0.0,False,35078.022410597245,4265.502694285995,11457.019144245683,30243.67295574018,11926.85242707507,0.0,11926.85242707507,76516.32999542484,30243.67295574018,866.5883892924847
69,Ampara,PF,5.0,52104072061,helped,a,43493.30859375,0.0,1,0.8104930580933938,0.8104930580933938,6999.999755859375,398446.47928267147,129474.50708782922,0.0,129474.50708782922,0.0,0.0,2.165880171765123e-05,42538.650096036145,0.0,42538.650096036145,354953.17068892147,0.0,354953.17068892147,2.412942343784777,1,36346.798828125,1.1124008423761267,394850.2060784333,0,0,0.0,0.0031684364354063414,0.024144478980003343,-1.0,0.0,0.0,False,93507.25134973104,7460.301323151611,33203.87327355595,112111.56269515761,32183.72331673562,0.0,32183.72331673562,268548.9136183477,112111.56269515761,2895.766375339021
70,Ampara,PF,5.0,52104072062,helped,a,43493.30859375,0.0,1,3.241972232373575,3.241972232373575,30000.0,317493.8412242044,63212.09856793568,0.0,63212.09856793568,0.0,0.0,2.165880171765123e-05,20768.81347141118,0.0,20768.81347141118,274000.5326304544,0.0,274000.5326304544,4.00606410633383,1,36346.798828125,1.0683611461403215,292731.52308413084,0,0,0.0,0.0035494604635498118,0.01500662564765886,-1.0,0.0,0.0,False,36825.067096315775,6076.404747431738,26457.820102017035,60572.94914354603,13070.224691459196,0.0,13070.224691459196,172431.87619671487,60572.94914354603,2030.2900010235126
71,Ampara,PF,5.0,52104072071,helped,a,43493.30859375,0.0,1,1.6209861161867876,1.6209861161867876,0.0,335218.1037876554,127618.66045052325,0.0,127618.66045052325,0.0,0.0,2.165880171765123e-05,41928.7651002751,0.0,41928.7651002751,291724.7951939054,0.0,291724.7951939054,1.957362890440887,1,36346.798828125,1.1377842350060552,331919.8729319958,0,0,0.0,0.003454349397698688,0.02598391873141194,-1.0,0.0,0.0,False,98007.86725610387,6816.289548865705,27934.841982304617,99814.61264509302,33437.812889993686,0.0,33437.812889993686,232647.89921040475,99814.61264509302,2475.931912286429
72,Ampara,PF,5.0,52104072081,helped,a,43493.30859375,0.0,1,4.0524652904669685,4.0524652904669685,0.0,139548.878343871,65969.81244831327,0.0,65969.81244831327,0.0,0.0,2.165880171765123e-05,21674.203130559425,0.0,21674.203130559425,96055.56975012101,0.0,96055.56975012101,1.1275061101293669,1,36346.798828125,1.2340710504291392,118539.39786110129,0,0,0.0,0.00535385765943229,0.021995791786897426,-1.0,0.0,0.0,False,56663.209358477434,4532.275523398299,11629.073195322584,36490.768459050974,19025.405743101757,0.0,19025.405743101757,84316.64949214189,36490.768459050974,903.9808333987936
73,Ampara,PF,5.0,52104072091,helped,a,43493.30859375,0.0,1,4.862958348560363,4.862958348560363,0.0,98173.79896725177,35480.34736553952,0.0,35480.34736553952,0.0,0.0,2.165880171765123e-05,11656.971990727174,0.0,11656.971990727174,54680.49037350177,0.0,54680.49037350177,1.2126013857621198,1,36346.798828125,1.218419377582667,66623.76904679705,0,0,0.0,0.00638310806751584,0.015207481477422282,-1.0,0.0,0.0,False,30127.2364482611,3932.60604392885,8181.149913937647,18943.213107012372,10132.208637330586,0.0,10132.208637330586,47528.13486183091,18943.213107012372,540.154000277021
74,Ampara,PF,5.0,52104072101,helped,a,43493.30859375,0.0,1,4.0524652904669685,4.0524652904669685,0.0,318447.18144782574,94262.41928828768,0.0,94262.41928828768,0.0,0.0,2.165880171765123e-05,30969.662447244802,0.0,30969.662447244802,274953.87285407574,0.0,274953.87285407574,2.588350821557436,1,36346.798828125,1.1049561864411679,303811.9827960693,0,0,0.0,0.0035441434439726772,0.0217461885960277,-1.0,0.0,0.0,False,66485.20180333043,6363.880096357769,26537.265120652144,82518.62503800234,22960.533005997302,0.0,22960.533005997302,203847.47439681672,82518.62503800234,2241.4100014262563
75,Ampara,PF,5.0,52104075011,helped,a,43493.30859375,0.0,1,3.6021976204629826,3.6021976204629826,0.0,86542.68964664827,22754.300836979724,0.0,22754.300836979724,0.0,0.0,2.165880171765123e-05,7475.863885788062,0.0,7475.863885788062,43049.38105289827,0.0,43049.38105289827,1.5633755315960758,1,36346.798828125,1.1712239695492488,50420.46696341373,0,0,0.0,0.006798526605139847,0.01099153134732342,-1.0,0.0,0.0,False,18428.42440074749,3674.9773889574835,7211.890803887356,12589.878332851396,6239.765658373463,0.0,6239.765658373463,35931.3724289125,12589.878332851396,439.4163741227793
76,Ampara,PF,5.0,52104075021,helped,a,43493.30859375,0.0,1,3.6021976204629826,3.6021976204629826,0.0,91524.962232987,27173.278039246718,0.0,27173.278039246718,0.0,0.0,2.165880171765123e-05,8927.706872097702,0.0,8927.706872097702,48031.653639237,0.0,48031.653639237,1.4390588691824726,1,36346.798828125,1.1854235402646933,56937.85290179187,0,0,0.0,0.006610894347261547,0.012662315931824465,-1.0,0.0,0.0,False,22379.410162906916,3772.8644179102653,7627.08018608225,15081.591035564656,7559.419378716064,0.0,7559.419378716064,40670.17639737002,15081.591035564656,482.2720415834251
77,Ampara,PF,5.0,52104075031,helped,a,43493.30859375,0.0,1,3.6021976204629826,3.6021976204629826,0.0,112328.2915320566,47196.17130773838,0.0,47196.17130773838,0.0,0.0,2.165880171765123e-05,15506.174202178696,0.0,15506.174202178696,68834.9829383066,0.0,68834.9829383066,1.1299392992792192,1,36346.798828125,1.233592421695267,84914.31330021801,0,0,0.0,0.005967403695672581,0.018247667024550957,-1.0,0.0,0.0,False,40524.73312232726,4154.915449203684,9360.690961004717,25249.248358730692,13607.3414488228,0.0,13607.3414488228,60405.68771204853,25249.248358730692,664.8097340692499
78,Ampara,PF,5.0,52104075041,helped,a,43493.30859375,0.0,1,2.701648215347238,2.701648215347238,0.0,105059.57623133021,49127.314424056596,0.0,49127.314424056596,0.0,0.0,2.165880171765123e-05,16140.64604049196,0.0,16140.64604049196,68712.77740320521,0.0,68712.77740320521,1.070120196453682,2,36346.798828125,1.2459568490690134,85613.15562407806,0,0,0.0,0.006170383731441691,0.02064233755733777,-1.0,0.0,0.0,True,42524.61047257152,3646.910828202747,8754.964685944184,26111.67602635839,14262.40952804913,0.0,14262.40952804913,60716.886342445476,26111.67602635839,654.7886921937746
79,Ampara,PF,5.0,52104075051,helped,a,43493.30859375,0.0,1,7.204395240925965,7.204395240925965,0.0,53600.81345084749,12844.849626986263,0.0,12844.849626986263,0.0,0.0,2.165880171765123e-05,4220.140541022699,0.0,4220.140541022699,17254.014622722494,0.0,17254.014622722494,1.0147159725650974,2,36346.798828125,1.2586365232160588,21716.53297626248,0,0,0.0,0.008638618704833699,0.006799112493135024,-1.0,0.0,0.0,True,11201.899379190962,2971.254058826209,4466.734454237291,5037.476405883805,3753.0176615827936,0.0,3753.0176615827936,15344.186048503685,5037.476405883805,195.71642660356312
80,Ampara,PF,5.0,52104075071,helped,a,43493.30859375,0.0,1,3.6021976204629826,3.6021976204629826,0.0,70295.60521290696,18315.169807361126,0.0,18315.169807361126,0.0,0.0,2.165880171765123e-05,6017.399414110108,0.0,6017.399414110108,26802.296619156958,0.0,26802.296619156958,1.1348460005373855,1,36346.798828125,1.2326331614818882,33037.39961664676,0,0,0.0,0.007543378653956656,0.008455154087571942,-1.0,0.0,0.0,False,15715.815887909586,3595.1195472374957,5857.96710107558,8074.459606472154,5277.534856986672,0.0,5277.534856986672,23506.841564017304,8074.459606472154,292.43245701409575
81,Ampara,PF,5.0,52104075081,helped,a,43493.30859375,0.0,1,3.6021976204629826,3.6021976204629826,0.0,91499.7670136834,33711.52508736705,0.0,33711.52508736705,0.0,0.0,2.165880171765123e-05,11075.830223968229,0.0,11075.830223968229,48006.458419933406,0.0,48006.458419933406,1.0954896908477285,1,36346.798828125,1.2405567135653761,59554.73428734546,0,0,0.0,0.006611804466892258,0.014436215062656231,-1.0,0.0,0.0,False,29081.023888292606,3883.5364078836255,7624.9805844736175,16888.158528692664,9758.30844045123,0.0,9758.30844045123,42295.8657655884,16888.158528692664,481.0105433659957
