,district,hazard,rp,hhid,helped_cat,affected_cat,pcwgt,pcsoc,pov_line,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
10,Ampara,PF,5.0,522241,helped,a,7.744210799580341,0.0,52153.133146515145,89580.35327968847,294774.5388950141,0.7950000000000005,38964,0,38964.0,1.9203597484886645e-05,0.0,0.7950000000000005,42817.324262940296,0.0,42817.324262940296,1,45477.532103761216,500.0,50.0,0,0.006682263702741098,0.003535545780967124,-1,0.0,0.0,36648.27,24340.100000000002,7465.71,7707.0,2.157,288192.8283692588,11309.12,11309.12,0,40894.23,7707.0,633.44,7707.0
11,Ampara,PF,5.0,522251,helped,a,4.646526479748205,120000.0,52153.133146515145,123689.72762524584,33757.067917946515,0.7950000000000005,4374,0,4374.0,1.9203597484886645e-05,0.0,0.7950000000000005,4808.979473060477,0.0,4808.979473060477,1,45477.532103761216,500.0,50.0,0,0.005686737466114429,0.0,-1,0.0,0.0,4114.050000000001,9947.98,10307.56,0.0,10.0,19411.09669547212,1271.84,1271.84,0,4592.99,0.0,87.82,0.0
12,Ampara,PF,5.0,522261,helped,a,10.841895119412476,0.0,52153.133146515145,105159.5803814794,346039.79201288056,0.7950000000000005,44286,0,44286.0,1.9203597484886645e-05,0.0,0.7950000000000005,48665.64065056396,0.0,48665.64065056396,1,45477.532103761216,500.0,50.0,0,0.006167449092715258,0.011072076940666333,-1,0.0,0.0,41653.98,7038.009999999999,8764.1,24819.0,0.847,458578.98735208233,12853.81,12853.81,0,46479.88,24819.0,410.53,24819.0
13,Ampara,PF,5.0,522271,helped,a,3.0976843198321364,0.0,52153.133146515145,569317.5147282179,1873405.291949407,0.8450000000000005,226217,0,226217.0,1.9203597484886645e-05,0.0,0.8450000000000005,259899.46109715546,0.0,259899.46109715546,1,45477.532103761216,500.0,50.0,0,0.0026506520587112952,0.010371539538860584,-1,0.0,0.0,211954.03999999998,37865.76999999999,47447.44,127351.0,0.844,667343.9836575742,65468.95,65468.95,0,247509.99,127351.0,2276.59,127351.0
14,Ampara,PF,5.0,522281,helped,a,7.744210799580341,0.0,52153.133146515145,83148.80757106321,273610.79203276447,1.1150000000000009,21681,0,21681.0,1.9203597484886645e-05,0.0,1.1150000000000009,30763.051078554792,0.0,30763.051078554792,1,45477.532103761216,500.0,50.0,0,0.006935886584517224,0.0016131527385939081,-1,0.0,0.0,19895.66,15758.45,6929.7,3384.0,1.98,157422.14875484532,6177.48,6177.48,0,28842.89,3384.0,484.61,3384.0
15,Ampara,PF,5.0,522291,helped,a,3.0976843198321364,7500.0,52153.133146515145,81575.89574579094,245106.2981694993,0.8450000000000005,30072,0,30072.0,1.9203597484886645e-05,0.0,0.8450000000000005,34549.705545542805,0.0,34549.705545542805,1,45477.532103761216,500.0,50.0,0,0.0070024347395868354,0.002744014553767135,-1,0.0,0.0,28175.96,19682.1,6798.55,5528.0,2.169,88712.90848613984,8703.21,8703.21,0,32902.71,5528.0,522.32,5528.0
16,Ampara,PF,5.0,522311,helped,a,6.862163885846625,21500.0,52153.133146515145,74861.71744356204,179465.71174474113,1.1150000000000009,14322,0,14322.0,1.9203597484886645e-05,0.0,1.1150000000000009,20321.839344330157,0.0,20321.839344330157,1,45477.532103761216,500.0,50.0,0,0.007309709244292895,0.0007409385729656956,-1,0.0,0.0,13142.64,12008.34,6238.89,1423.0,2.385,92145.47976734277,4081.12,4081.12,0,19053.4,1423.0,335.78,1423.0
17,Ampara,PF,5.0,522321,helped,a,5.146622914384968,10000.0,52153.133146515145,81285.38598960084,236374.1270900428,0.7950000000000005,31697,0,31697.0,1.9203597484886645e-05,0.0,0.7950000000000005,34831.85937833909,0.0,34831.85937833909,1,45477.532103761216,500.0,50.0,0,0.007014936748564587,0.0029616296845072334,-1,0.0,0.0,29813.18,20474.67,6774.32,5921.0,2.229,155805.61973765446,9200.1,9200.1,0,33267.43,5921.0,522.02,5921.0
18,Ampara,PF,5.0,522331,helped,a,3.4310819429233126,81732.0,52153.133146515145,154703.06198780576,254842.1194038969,0.7150000000000004,37548,0,37548.0,1.9203597484886645e-05,0.0,0.7150000000000004,38259.094576559015,0.0,38259.094576559015,1,45477.532103761216,500.0,50.0,0,0.00508487803938676,0.003997478081108088,-1,0.0,0.0,35534.87,11173.0,12892.51,14921.0,1.317,123614.33402325254,10950.22,10950.22,0,36710.1,14921.0,414.98,14921.0
19,Ampara,PF,5.0,522351,helped,a,8.577704857308284,24171.2,52153.133146515145,73492.7926206298,166652.3756447483,0.7150000000000004,25308,0,25308.0,1.9203597484886645e-05,0.0,0.7150000000000004,25786.66778842201,0.0,25786.66778842201,1,45477.532103761216,500.0,50.0,0,0.007377472860458173,0.002399932917165942,-1,0.0,0.0,23951.110000000004,17182.63,6124.78,4384.0,2.478,208295.49502376572,7380.04,7380.04,0,24742.64,4384.0,389.0,4384.0
