,district,hazard,rp,hhid,helped_cat,affected_cat,N_children,pcwgt,frac_remittance,pcsoc,pcsamurdhi,gsp_samurdhi,pov_line,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
20,Ampara,PF,5.0,522361,helped,a,0,5.146622914384968,0.0,6000.0,6000.0,2.3231329107057327e-07,52153.133146515145,142483.82958765677,423996.57000102533,0.7150000000000004,64332,0,64332.0,1.8047043729134427e-05,0.0,0.7150000000000004,66704.77317167222,0.0,66704.77317167222,1,45477.532103761216,500.0,50.0,0,0.005298430060644723,0.026370509891170762,-1,0.0,0.0,56830.25000000001,7125.4800000000005,11873.65,35354.0,0.888,296541.15558855265,18546.46,18546.46,0,59743.75,35354.0,462.04,35354.0
21,Ampara,PF,5.0,522371,helped,a,1,5.146622914384968,0.0,976.0,0.0,0.0,52153.133146515145,107684.52974233062,331511.4524176101,1.2150000000000007,22298,0,22298.0,1.8047043729134427e-05,0.0,1.2150000000000007,34269.40012359618,0.0,34269.40012359618,1,45477.532103761216,500.0,50.0,0,0.006094714097945236,0.009172302702439652,-1,0.0,0.0,18061.89,5457.65,8973.71,10624.0,0.964,95159.56516633289,5951.51,5951.51,0,28416.51,10624.0,336.46,10624.0
22,Ampara,PF,5.0,522381,helped,a,1,3.4310819429233126,0.0,9000.0,9000.0,3.484699366058599e-07,52153.133146515145,163154.75786964817,478884.2062637028,0.9650000000000006,50178,0,50178.0,1.8047043729134427e-05,0.0,0.9650000000000006,64573.31598026221,0.0,64573.31598026221,1,45477.532103761216,500.0,50.0,0,0.004951424076711857,0.01682206705230683,-1,0.0,0.0,42446.13999999999,8100.410000000002,13596.23,27767.0,0.875,148369.38437652763,13919.19,13919.19,0,55648.43,27767.0,527.31,27767.0
23,Ampara,PF,5.0,522391,helped,a,3,8.577704857308284,0.8922729165427399,80692.8,8400.0,3.252386074988025e-07,52153.133146515145,220207.16070068974,433131.4453368651,0.9050000000000006,49661,0,49661.0,1.8047043729134427e-05,0.0,0.9050000000000006,60929.803920384256,0.0,60929.803920384256,1,45477.532103761216,500.0,50.0,0,0.004262008161551627,0.008989811210422813,-1,0.0,0.0,42448.14000000001,12270.09,18350.6,21325.0,1.16,370512.4173245571,13905.06,13905.06,0,52996.37,21325.0,601.39,21325.0
24,Ampara,PF,5.0,522511,helped,a,2,9.181208069753676,0.8264462809917356,40333.333333333336,7000.0,2.7103217291566877e-07,52153.133146515145,79314.98391361545,120954.3592718166,1.1150000000000009,9489,0,9489.0,1.8047043729134427e-05,0.0,1.1150000000000009,13635.391579546136,0.0,13635.391579546136,1,45477.532103761216,500.0,50.0,0,0.007101537348235857,0.0024167533300770046,-1,0.0,0.0,7820.749999999999,4837.960000000001,6609.58,2182.0,1.644,73363.26939009302,2572.75,2572.75,0,11482.26,2182.0,176.84,2182.0
25,Ampara,PF,5.0,522521,helped,a,0,4.590604034876836,0.952018278750952,35013.333333333336,1680.0,6.504772149976051e-08,52153.133146515145,99046.11216909505,198801.52965744413,0.7550000000000004,28544,0,28544.0,1.8047043729134427e-05,0.0,0.7550000000000004,30739.216802715942,0.0,30739.216802715942,1,45477.532103761216,500.0,50.0,0,0.006354937434190316,0.01277505777872465,-1,0.0,0.0,25041.18,5549.68,8253.84,13218.0,1.118,116638.61819063484,8179.03,8179.03,0,27362.16,13218.0,268.71,13218.0
26,Ampara,PF,5.0,522531,helped,a,2,6.120805379835783,0.0,10500.0,10500.0,4.065482593735032e-07,52153.133146515145,62668.575702542286,162034.5481033468,0.7550000000000004,22026,0,22026.0,1.8047043729134427e-05,0.0,0.522,17241.043598781074,0.0,17241.043598781074,2,45477.532103761216,500.0,50.0,0,0.007989232930943035,0.013807628920452265,-1,0.0,0.0,20229.789999999997,3800.9999999999995,5222.38,8965.0,1.419,125074.25095707073,6577.6,6577.6,0,17244.29,8965.0,157.86,8965.0
27,Ampara,PF,5.0,522541,helped,a,2,6.120805379835783,0.0,1260.0,1260.0,4.8785791124820384e-08,52153.133146515145,49055.15848612085,148482.1605256246,1.1150000000000009,11837,0,11837.0,1.8047043729134427e-05,0.0,0.043,4310.135207090126,0.0,4310.135207090126,3,45477.532103761216,500.0,50.0,0,0.009029997999177364,0.005797763275042096,-1,0.17341040462427745,0.17341040462427745,11750.869999999999,3889.0499999999993,4087.93,3146.0,7.45,71984.4049581505,3785.54,3785.54,0,4291.25,3146.0,22.03,3146.0
28,Ampara,PF,5.0,522551,helped,a,2,10.71140941471262,0.5434782608695652,13142.857142857143,6000.0,2.3231329107057327e-07,52153.133146515145,104143.87891192925,282666.749894792,1.2150000000000007,20501,0,20501.0,1.8047043729134427e-05,0.0,1.2150000000000007,31507.87307477025,0.0,31507.87307477025,1,45477.532103761216,500.0,50.0,0,0.0061974512758082734,0.008383298452806848,-1,0.0,0.0,16606.270000000004,5391.15,8678.66,9452.0,0.991,182089.88971453696,5472.1,5472.1,0,26126.64,9452.0,315.44,9452.0
29,Ampara,PF,5.0,522561,helped,a,1,4.590604034876836,0.0,0.0,0.0,0.0,52153.133146515145,141517.99816836516,439658.9039272032,1.1150000000000009,35718,0,35718.0,1.8047043729134427e-05,0.0,1.1150000000000009,51322.527785744336,0.0,51322.527785744336,1,45477.532103761216,500.0,50.0,0,0.005316479668023641,0.012852730229600574,-1,0.0,0.0,29438.47000000001,6993.740000000002,11793.17,18989.0,0.892,138075.08641605717,9681.47,9681.47,0,43218.17,18989.0,457.96,18989.0
30,Ampara,PF,5.0,522571,helped,a,2,6.120805379835783,0.0,0.0,0.0,0.0,52153.133146515145,122807.10026837082,381529.1044057439,0.9050000000000006,41161,0,41161.0,1.8047043729134427e-05,0.0,0.9050000000000006,50499.66293210768,0.0,50499.66293210768,1,45477.532103761216,500.0,50.0,0,0.005707136465065215,0.01853615925930891,-1,0.0,0.0,35182.72,6070.090000000003,10233.93,22725.0,0.882,219134.564678675,11523.86,11523.86,0,43924.3,22725.0,401.13,22725.0
31,Ampara,PF,5.0,522591,helped,a,0,6.120805379835783,0.0,1260.0,1260.0,4.8785791124820384e-08,52153.133146515145,137417.72006974157,423001.21447546384,1.2150000000000007,31699,0,31699.0,1.8047043729134427e-05,0.0,1.2150000000000007,48717.6274286718,0.0,48717.6274286718,1,45477.532103761216,500.0,50.0,0,0.005395213387746643,0.011412813036914722,-1,0.0,0.0,25676.89,6706.359999999998,11451.48,16564.0,0.888,160885.92028146776,8460.7,8460.7,0,40397.08,16564.0,450.17,16564.0
32,Ampara,PF,5.0,522611,helped,a,3,7.78242929249039,0.0,0.0,0.0,0.0,52153.133146515145,45226.54133266084,140506.87437706374,0.8450000000000005,16560,0,16560.0,1.8047043729134427e-05,0.0,0.03,5830.355029170887,0.0,5830.355029170887,3,45477.532103761216,500.0,50.0,0,0.009404447954297226,0.009623047520366112,-1,0.17341040462427745,0.17341040462427745,16474.07,3569.8000000000006,3768.88,4664.0,7.391,128282.45148569458,5305.76,5305.76,0,5800.27,4664.0,21.86,4664.0
33,Ampara,PF,5.0,522631,helped,a,0,3.112971716996156,0.7058823529411765,25500.0,7500.0,2.903916138382166e-07,52153.133146515145,97660.7748430828,224088.7441500665,1.3350000000000009,14551,0,14551.0,1.8047043729134427e-05,0.0,1.3350000000000009,24109.801701154174,0.0,24109.801701154174,1,45477.532103761216,500.0,50.0,0,0.006399851735094166,0.004641368632327495,-1,0.0,0.0,11543.890000000001,5284.129999999999,8138.4,5063.0,1.169,36872.153836870035,3813.04,3813.04,0,19625.69,5063.0,275.77,5063.0
34,Ampara,PF,5.0,522641,helped,a,1,7.78242929249039,0.0,0.0,0.0,0.0,52153.133146515145,180333.47468948778,560248.299506314,0.7950000000000005,74970,0,74970.0,1.8047043729134427e-05,0.0,0.7950000000000005,83732.59423532258,0.0,83732.59423532258,1,45477.532103761216,500.0,50.0,0,0.004709684558329801,0.024893303067147644,-1,0.0,0.0,65315.330000000016,8869.43,15027.79,42704.0,0.847,516158.18265336525,21348.31,21348.31,0,74075.52,42704.0,593.59,42704.0
35,Ampara,PF,5.0,522661,helped,a,4,10.895401009486546,0.0,2142.8571428571427,2142.8571428571427,8.296903252520473e-08,52153.133146515145,41796.1186709534,123184.13339113233,0.6750000000000004,19360,0,19360.0,1.8047043729134427e-05,0.0,0.026,6731.666593503395,0.0,6731.666593503395,3,45477.532103761216,500.0,50.0,0,0.009782773960007545,0.012972322258683529,-1,0.17341040462427745,0.17341040462427745,19272.900000000005,3298.35,3483.01,5655.0,6.751,210091.22368948496,6206.73,6206.73,0,6708.08,5655.0,20.26,5655.0
36,Ampara,PF,5.0,522671,helped,a,3,7.78242929249039,0.0,0.0,0.0,0.0,52153.133146515145,133247.4909464174,413964.6304977731,0.7950000000000005,53186,0,53186.0,1.8047043729134427e-05,0.0,0.7950000000000005,59402.45107376107,0.0,59402.45107376107,1,45477.532103761216,500.0,50.0,0,0.005478989594816901,0.023123270156929113,-1,0.0,0.0,46336.670000000006,6631.940000000001,11103.96,29701.0,0.872,366178.24047591444,15145.14,15145.14,0,52551.42,29701.0,432.56,29701.0
37,Ampara,PF,5.0,522681,helped,a,0,3.112971716996156,0.0,0.0,0.0,0.0,52153.133146515145,137283.55827618414,426503.62173103314,1.1150000000000009,35567,0,35567.0,1.8047043729134427e-05,0.0,1.1150000000000009,51105.55870305081,0.0,51105.55870305081,1,45477.532103761216,500.0,50.0,0,0.005397849008345323,0.01363488081148847,-1,0.0,0.0,29314.020000000004,6749.82,11440.3,19420.0,0.868,93235.3707070651,9640.54,9640.54,0,43035.46,19420.0,446.17,19420.0
38,Ampara,PF,5.0,522691,helped,a,1,3.112971716996156,0.0,12900.0,12900.0,4.994735758017326e-07,52153.133146515145,89417.83419861729,237672.2365879625,0.3150000000000001,83086,0,83086.0,1.8047043729134427e-05,0.0,0.225,43990.30209485607,0.0,43990.30209485607,2,45477.532103761216,500.0,50.0,0,0.006688333534102914,0.04370030472007251,-1,0.0,0.0,80026.81,5484.28,7451.49,32553.0,1.451,250203.54526770755,25871.28,25871.28,0,43955.54,32553.0,217.87,32553.0
39,Ampara,PF,5.0,522711,helped,a,0,4.092876248593661,0.0,840.0,840.0,3.2523860749880256e-08,52153.133146515145,144300.01983775516,445689.09948622936,0.7950000000000005,56725,0,56725.0,1.8047043729134427e-05,0.0,0.7950000000000005,63355.11131617131,0.0,63355.11131617131,1,45477.532103761216,500.0,50.0,0,0.005264980903022896,0.022701131372988306,-1,0.0,0.0,49419.93000000001,7255.530000000003,12025.0,31678.0,0.872,205391.8674216385,16152.91,16152.91,0,56048.21,31678.0,461.33,31678.0
40,Ampara,PF,5.0,522721,helped,a,3,6.821460414322768,0.0,585.6,0.0,0.0,52153.133146515145,85083.8075422633,262511.3337283476,0.6750000000000004,43185,0,43185.0,1.8047043729134427e-05,0.0,0.678,39656.275438502074,0.0,39656.275438502074,2,45477.532103761216,500.0,50.0,0,0.0068565640515313294,0.02872652107396873,-1,0.0,0.0,38644.88999999999,4185.32,7090.32,22604.0,0.943,267080.9124603959,12602.64,12602.64,0,39148.4,22604.0,313.87,22604.0
41,Ampara,PF,5.0,522731,helped,a,0,4.092876248593661,0.0,8000.0,8000.0,3.097510547607643e-07,52153.133146515145,102375.46055847066,293169.5281100463,1.2150000000000007,19629,0,19629.0,1.8047043729134427e-05,0.0,1.2150000000000007,30167.60741038379,0.0,30167.60741038379,1,45477.532103761216,500.0,50.0,0,0.006250749018949556,0.007859759268520453,-1,0.0,0.0,15899.91,5331.440000000002,8531.29,8749.0,1.019,66617.78211775969,5239.25,5239.25,0,25015.22,8749.0,307.82,8749.0
42,Ampara,PF,5.0,522741,helped,a,1,4.092876248593661,0.0,0.0,0.0,0.0,52153.133146515145,134301.9625954823,417240.5943712772,0.21500000000000005,186906,0,186906.0,1.8047043729134427e-05,0.0,0.165,88874.43049172108,0.0,88874.43049172108,2,45477.532103761216,500.0,50.0,0,0.00545743806939883,0.07875762656007707,-1,0.0,0.0,181812.47,8136.070000000001,11191.83,71100.0,1.453,746505.4699365083,58708.39,58708.39,0,88802.97,71100.0,338.38,71100.0
43,Ampara,PF,5.0,522751,helped,a,0,2.7285841657291074,0.0,0.0,0.0,0.0,52153.133146515145,94632.12241389441,293996.9173906693,1.0350000000000006,27925,0,27925.0,1.8047043729134427e-05,0.0,1.0350000000000006,37890.91148487906,0.0,37890.91148487906,1,45477.532103761216,500.0,50.0,0,0.006501457162611696,0.016592459840163463,-1,0.0,0.0,23337.070000000003,4630.880000000001,7886.01,15914.0,0.838,64959.75794945442,7663.07,7663.07,0,32303.45,15914.0,309.62,15914.0
44,Ampara,PF,5.0,522761,helped,a,1,5.457168331458215,0.945945945945946,27750.0,0.0,0.0,52153.133146515145,140143.00665230385,349071.18281438947,1.2150000000000007,25086,0,25086.0,1.8047043729134427e-05,0.0,1.2150000000000007,38554.772638785005,0.0,38554.772638785005,1,45477.532103761216,500.0,50.0,0,0.005342496918271132,0.0067701175777788655,-1,0.0,0.0,20320.199999999997,7455.339999999998,11678.58,10410.0,1.078,113517.39619019468,6696.12,6696.12,0,31969.97,10410.0,408.26,10410.0
45,Ampara,PF,5.0,522771,helped,a,2,5.457168331458215,1.0,87000.0,0.0,0.0,52153.133146515145,184337.8037442114,302076.4048208123,1.1150000000000009,24294,0,24294.0,1.8047043729134427e-05,0.0,1.1150000000000009,34909.373845386,0.0,34909.373845386,1,45477.532103761216,500.0,50.0,0,0.0046582499848937305,0.0031817850990081106,-1,0.0,0.0,20022.89,11007.349999999999,15361.48,6633.0,1.489,111641.16714615603,6586.53,6586.53,0,29396.88,6633.0,432.57,6633.0
46,Ampara,PF,5.0,522781,helped,a,0,2.7285841657291074,0.0,0.0,0.0,0.0,52153.133146515145,300028.8223132578,932110.0133700428,1.2150000000000007,63919,0,63919.0,1.8047043729134427e-05,0.0,1.2150000000000007,98235.91852110959,0.0,98235.91852110959,1,45477.532103761216,500.0,50.0,0,0.0036513083223266214,0.009790199192444771,-1,0.0,0.0,51775.810000000005,15093.359999999999,25002.4,31435.0,0.938,144620.96366880732,17060.42,17060.42,0,81458.09,31435.0,945.61,31435.0
47,Ampara,PF,5.0,522791,helped,a,1,4.092876248593661,0.0,976.0,0.0,0.0,52153.133146515145,125084.17966499366,385567.55208497477,0.7950000000000005,49195,0,49195.0,1.8047043729134427e-05,0.0,0.7950000000000005,54944.99758854844,0.0,54944.99758854844,1,45477.532103761216,500.0,50.0,0,0.0056549504426268195,0.022713530643122076,-1,0.0,0.0,42859.63,6287.17,10423.68,27472.0,0.872,178126.88579029441,14008.68,14008.68,0,48608.03,27472.0,400.11,27472.0
