,region,hazard,rp,index,hhid,helped_cat,affected_cat,province,pcwgt,ispoor,pcsoc,c,pov_line,k,dk_private,dk_public,dk0,pc_fee,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,t_pov_bool,dk_prv_t,sav_f,sav_i,sav_offset_to,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta,scale_fac_soc
42,ARMM,EQ,1,42,1538226014,helped,a,Maguindanao,0.9180367744754392,0,254.28310028703584,32448.801,22302.6775,100985.25908051543,24728.247433264354,2827.2633014852177,27555.510734749572,0.02667725526401427,7883.468367491449,901.3432237104606,8784.81159120191,15973.498060105238,901.3432237104606,16874.8412838157,0.5992206879756655,2,15573.959716184301,0.0,0,0.0,0.01110275275361472,0.0,-1,0.0,0.0,True,1531.2397810664863,2882.8323460847123,34863.16060137557,0.0,493.8347814093172,7.3432602556796525,501.17804166499684,1429.3837320024245,0.0,27.38273208438866,1.3632890789144594e-06
43,ARMM,EQ,1,43,1538291346,helped,a,Maguindanao,0.9376180350922879,0,2741.5970125007393,27148.196999999993,22302.6775,76556.72405748596,6838.296138429398,781.8452872184517,7620.141425647849,0.02504487422779519,2180.086774690631,249.25550841130064,2429.3422831019316,11324.981775404392,249.25550841130064,11574.237283815693,2.324708259433751,2,15573.959716184301,0.0,0,0.0,0.012138345634104979,0.00028169595838750704,-1,0.0,0.0,True,0.10562301909710495,26872.449336596463,29168.166814100186,0.0,0.03895321961486102,2.03068933151917,2.0696425511340313,2.3264336602514657,0.0,0.04383622490567214,1.3632890789144594e-06
44,ARMM,EQ,1,44,1538291587,helped,a,Maguindanao,1.7412906099828365,1,442.87337032751236,17948.328,22302.6775,54909.74819397578,7412.956795140804,847.5481636520639,8260.504958792868,0.016947814716701596,2363.2828272624283,270.2018569245827,2633.484684187011,2363.2828272624283,270.2018569245827,2633.484684187011,0.0016698910496018063,3,15573.959716184301,0.0,0,0.0,0.01492856271356849,0.14658492756953176,-1,4.836223506743741,4.836223506743741,False,7401.816820475854,0.0,0.016947814716701596,0.0,2359.8063188294345,2.201339628201945,2362.0076584576364,2374.3682838157,2374.3682838157,0.0,1.3632890789144594e-06
45,ARMM,EQ,1,45,1538517014,helped,a,Maguindanao,1.5140504036495732,1,1911.12150870275,20872.67799999999,22302.6775,59477.13523178907,11252.900558440097,1286.581787488218,12539.482345928314,0.017052594837089704,3587.477965806686,410.1675904372292,3997.645556243915,4888.550693378458,410.1675904372292,5298.718283815688,0.9356611399316414,2,15573.959716184301,0.0,0,0.0,0.013843340747380603,0.3460105263756646,-1,4.836223506743741,4.836223506743741,False,644.8360693716746,0.14277272760373627,0.017052594837089704,0.0,209.3187811619669,3.341643100867347,212.66042426283425,826.9843672281277,819.4396277578832,0.002597975098469263,1.3632890789144594e-06
46,ARMM,EQ,1,46,1538811017,helped,a,Maguindanao,0.9238211685392813,1,3838.2356495855797,15453.292999999969,22302.6775,36433.208269197385,12577.71102387557,1438.05180251689,14015.76282639246,0.008144327441090903,4009.8398404045793,458.45685715310066,4468.29669755768,4009.8398404045793,458.45685715310066,4468.29669755768,0.0,3,15573.959716184301,0.0,0,0.0,0.016088645265375606,0.4722912577399402,-1,4.836223506743741,4.836223506743741,False,12577.71102387557,0.0,0.008144327441090903,0.0,4009.83148234232,3.735056668221665,4013.566539010542,4013.566539010542,4013.566539010542,0.0,1.3632890789144594e-06
47,ARMM,EQ,1,47,1538931218,helped,a,Maguindanao,0.7552823003862174,0,0.0,236120.6900000001,22302.6775,740645.0106877566,73493.23588949261,8402.72766189841,81895.96355139103,0.23932557146501957,23429.947300186024,2678.82430149252,26108.771601678545,153244.7065379165,2678.82430149252,155923.530839409,1.7663497554104868,1,15573.959716184301,5843.039496960806,0,0.0,0.0041158825547999035,0.0,-1,0.0,0.0,True,14.331880250358262,170162.08918486635,253689.34289909637,0.0,4.727241254145517,21.82443214486057,25.777125989084233,51.968635402368115,0.0,0.9844747644170232,1.3632890789144594e-06
48,ARMM,EQ,1,48,1538931332,helped,a,Maguindanao,1.0070430609709602,0,1919.117943493833,78659.79700000005,22302.6775,240714.1917973885,33657.147543704996,3848.1343386666686,37505.281882371666,0.0738264270796398,10730.04451486061,1226.8011289442584,11956.845643804869,51961.16909478697,1226.8011289442584,53187.97022373123,1.225033242237367,1,15573.959716184301,5843.039496960806,0,0.0,0.007131051698998041,0.0,-1,0.0,0.0,True,89.96728986268538,46879.64750951293,84512.50426276644,0.0,29.369613866553177,9.994771952369145,38.58983840900047,151.4351392680842,0.0,2.8836589936344588,1.3632890789144594e-06
49,ARMM,EQ,1,49,1538931446,helped,a,Maguindanao,0.5035215398014744,0,3838.235815973855,50589.066,22302.6775,146644.3670027795,12247.858236898497,1400.3386292712034,13648.196866169701,0.04831792100340483,3904.6814088549086,446.43374167893836,4351.115150533847,32485.76624893052,446.43374167893836,32932.19999060946,2.3335577769810265,1,15573.959716184301,0.0,0,0.0,0.008892045268893225,0.0,-1,0.0,0.0,True,0.15373873973129673,45837.307072325726,54353.1624146225,0.0,0.056499194521237986,3.6371041195272684,3.6936033140485063,4.068860376116628,0.0,0.07666171166403757,1.3632890789144594e-06
50,ARMM,EQ,1,50,1538931788,helped,a,Maguindanao,0.6294019200938459,0,0.0,140935.58000000005,22302.6775,442075.76284562424,45860.1131484178,5243.34024303174,51103.45339144954,0.14204145234649468,14620.393581031847,1671.598536712987,16291.992117744834,91666.38923149194,1671.598536712987,93337.98776820493,1.6800219267038206,1,15573.959716184301,5843.039496960806,0,0.0,0.005327453553929155,0.0,-1,0.0,0.0,True,13.577167069787796,101085.9995339591,151421.94650854418,0.0,4.470863132817092,13.618544828645481,17.31486055154072,40.87524554225158,0.0,0.7749663448894801,1.3632890789144594e-06
51,ARMM,EQ,1,51,1566111111,helped,a,Sulu,6.645878439190469,0,0.0,24142.43600000001,22302.6775,75728.11501291343,23099.398601848563,2641.0315623715883,25740.43016422015,0.018160680906685742,7364.183728705309,841.9717757092417,8206.15550441455,7726.504508106466,841.9717757092417,8568.476283815708,0.37098299398815515,2,15573.959716184301,0.0,0,0.0,0.012871804982910543,0.177717316142206,-1,4.836223506743741,0.8863198458574173,True,12323.564578550793,0.588652132525624,27428.51047028603,0.0,3956.9871441109226,6.85955994822657,3963.846704059149,8568.476283815708,8538.324491818883,-0.007692749157143908,1.3632890789144594e-06
