,district,hazard,rp,hhid,helped_cat,affected_cat,pcwgt,frac_remittance,pcsoc,pcsamurdhi,gsp_samurdhi,pov_line,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
20,Ampara,PF,5.0,522361,helped,a,5.146622914384968,0.0,6000.0,6000.0,2.3231329107057327e-07,52153.133146515145,142483.82958765677,423996.57000102533,1.2150000000000007,28253,0,28253.0,5.68225312919702e-07,0.0,1.2150000000000007,43421.63031007028,0.0,43421.63031007028,1,45477.532103761216,500.0,50.0,0,0.005298430060644723,0.029907196564029164,-1,0.0,0.0,24.599999999996868,0.09999999999992264,11876.74,0.0,2.189,129.59196498419738,8.11,8.11,0,38.7,38.7,0.0,3040.0
21,Ampara,PF,5.0,522371,helped,a,5.146622914384968,0.0,976.0,0.0,0.0,52153.133146515145,107684.52974233062,331511.4524176101,1.2150000000000007,22533,0,22533.0,5.68225312919702e-07,0.0,1.2150000000000007,34630.567090812714,0.0,34630.567090812714,1,45477.532103761216,500.0,50.0,0,0.006094714097945236,0.021514058079838198,-1,0.0,0.0,19.619999999994402,0.0999999999998296,8976.12,0.0,2.649,103.34418812082136,6.46,6.46,0,30.86,30.86,0.0,1385.0
22,Ampara,PF,5.0,522381,helped,a,3.4310819429233126,0.0,9000.0,9000.0,3.484699366058599e-07,52153.133146515145,163154.75786964817,478884.2062637028,1.2150000000000007,35489,0,35489.0,5.68225312919702e-07,0.0,1.2150000000000007,54542.56457570312,0.0,54542.56457570312,1,45477.532103761216,500.0,50.0,0,0.004951424076711857,0.047358023190352545,-1,0.0,0.0,30.909999999997,0.0999999999990691,13599.71,0.0,1.745,108.55943267408333,10.19,10.19,0,48.63,48.63,0.0,6545.0
23,Ampara,PF,5.0,522391,helped,a,8.577704857308284,0.8922729165427399,80692.8,8400.0,3.252386074988025e-07,52153.133146515145,220207.16070068974,433131.4453368651,1.0350000000000006,39346,0,39346.0,5.68225312919702e-07,0.0,1.0350000000000006,53389.49061861371,0.0,53389.49061861371,1,45477.532103761216,500.0,50.0,0,0.004262008161551627,0.0375703623369994,-1,0.0,0.0,97.27999999999015,0.0900000000060373,18353.75,0.0,2.133,851.2514300391896,31.99,31.99,0,134.7,134.7,0.0,5873.0
24,Ampara,PF,5.0,522511,helped,a,9.181208069753676,0.8264462809917356,40333.333333333336,7000.0,2.7103217291566877e-07,52153.133146515145,79314.98391361545,120954.3592718166,0.6750000000000004,19186,0,19186.0,5.68225312919702e-07,0.0,0.6750000000000004,19126.983830453322,0.0,19126.983830453322,1,45477.532103761216,500.0,50.0,0,0.007101537348235857,0.035517556355581605,-1,0.0,0.0,382.6700000000084,0.09000000000277325,6610.46,0.0,3.94,3559.370744482182,124.81,124.81,0,386.49,386.49,0.0,1339.0
25,Ampara,PF,5.0,522521,helped,a,4.590604034876836,0.952018278750952,35013.333333333336,1680.0,6.504772149976051e-08,52153.133146515145,99046.11216909505,198801.52965744413,0.9650000000000006,19733,0,19733.0,5.68225312919702e-07,0.0,0.9650000000000006,25394.7399775664,0.0,25394.7399775664,1,45477.532103761216,500.0,50.0,0,0.006354937434190316,0.015885466949503872,-1,0.0,0.0,73.20999999998874,0.0900000000086823,8255.29,0.0,3.634,342.3672489210628,24.03,24.03,0,96.0,96.0,0.0,762.0
26,Ampara,PF,5.0,522531,helped,a,6.120805379835783,0.0,10500.0,10500.0,4.065482593735032e-07,52153.133146515145,62668.575702542286,162034.5481033468,1.2150000000000007,10702,0,10702.0,5.68225312919702e-07,0.0,1.2150000000000007,16447.917179316686,0.0,16447.917179316686,1,45477.532103761216,500.0,50.0,0,0.007989232930943035,0.0,-1,0.0,0.0,9.290000000001422,5716.380000000006,5223.56,0.0,10.0,58.208859162247,3.07,3.07,0,14.62,0.0,0.28,0.0
27,Ampara,PF,5.0,522541,helped,a,6.120805379835783,0.0,1260.0,1260.0,4.8785791124820384e-08,52153.133146515145,49055.15848612085,148482.1605256246,0.7150000000000004,22780,0,22780.0,5.68225312919702e-07,0.0,0.025,7832.482544963073,0.0,7832.482544963073,3,45477.532103761216,500.0,50.0,0,0.009029997999177364,0.18819379846608594,-1,5.799614643545269,5.799614643545269,19881.97999999998,0.029999999999319016,4089.01,0.0,10.0,121752.36746132617,6402.72,6402.72,0,6900.01,6900.01,0.0,0.0
28,Ampara,PF,5.0,522551,helped,a,10.71140941471262,0.5434782608695652,13142.857142857143,6000.0,2.3231329107057327e-07,52153.133146515145,104143.87891192925,282666.749894792,1.0350000000000006,25197,0,25197.0,5.68225312919702e-07,0.0,1.0350000000000006,34189.60586228414,0.0,34189.60586228414,1,45477.532103761216,500.0,50.0,0,0.0061974512758082734,0.042387660551000364,-1,0.0,0.0,62.30000000001219,0.09000000000377312,8680.72,0.0,2.327,680.7100683051175,20.46,20.46,0,86.23,86.23,0.0,3077.0
29,Ampara,PF,5.0,522561,helped,a,4.590604034876836,0.0,0.0,0.0,0.0,52153.133146515145,141517.99816836516,439658.9039272032,0.9650000000000006,46004,0,46004.0,5.68225312919702e-07,0.0,0.9650000000000006,59201.6892730663,0.0,59201.6892730663,1,45477.532103761216,500.0,50.0,0,0.005316479668023641,0.11566645290040681,-1,0.0,0.0,170.6999999999999,0.09000000000246638,11796.37,0.0,1.523,798.3060416650814,55.98,55.98,0,223.79,223.79,0.0,13616.0
