,district,hazard,rp,index,hhid,helped_cat,affected_cat,pov_line,ispoor,pcwgt,pcsoc,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,pc_fee,di0_prv,di0_pub,di0,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,t_pov_bool,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta,scale_fac_soc
55,Ampara,PF,5.0,55,52103068021,helped,a,43493.30859375,0.0,4.0524652904669685,0.0,95652.25555999498,291136.9484515914,0.7550000000000004,40434.26886350798,0.0,40434.26886350798,0.0,13284.569475924496,0.0,13284.569475924496,0.7550000000000004,43812.44246787304,0.0,43812.44246787304,1,36346.798828125,0,0,0.0,0.00646669514690269,0.24180833896766646,-1,0.0,0.0,True,4495.376991979088,0.6893037291721953,7971.021296666248,0.0,0.8362800190694268,1498.5863749448847,0.0,1498.5863749448847,4942.330231657133,4906.031140015243,0.010100734062660877,3.2239904665866926e-06
56,Ampara,PF,5.0,56,52103068031,helped,a,43493.30859375,0.0,4.0524652904669685,0.0,81181.01221371742,247090.79811807317,0.9650000000000006,23738.82775921179,0.0,23738.82775921179,0.0,7799.327538450119,0.0,7799.327538450119,0.9650000000000006,30707.296326089512,0.0,30707.296326089512,1,36346.798828125,0,0,0.0,0.007019444823970498,0.1432763893855047,-1,0.0,0.0,True,1432.6146763253828,0.3360948289125787,6765.0843511431185,0.0,0.8857702925555416,479.5151335359413,0.0,479.5151335359413,1887.9337001480262,1870.1630130219028,0.0063076205310323985,3.2239904665866926e-06
57,Ampara,PF,5.0,57,52103068041,helped,a,43493.30859375,0.0,1.6209861161867876,0.0,71568.52042630437,217833.23895630188,1.1150000000000009,16699.078982837567,0.0,16699.078982837567,0.0,5486.437152612085,0.0,5486.437152612085,1.1150000000000009,24105.910218475987,0.0,24105.910218475987,1,36346.798828125,0,0,0.0,0.00747599455178319,0.10165039260222623,-1,0.0,0.0,True,651.372627679954,0.19742238072361218,5964.043368858697,0.0,0.9207590581267461,218.65409382025155,0.0,218.65409382025155,960.7065219044316,950.2377928145498,0.004287235651759147,3.2239904665866926e-06
58,Ampara,PF,5.0,58,52103068051,helped,a,43493.30859375,0.0,3.241972232373575,0.0,57577.27530452685,175248.0601129486,0.9650000000000006,17505.64248839439,0.0,17505.64248839439,0.0,5751.431406928503,0.0,5751.431406928503,0.9729820685840835,21230.476476401847,0.0,21230.476476401847,2,36346.798828125,0,0,0.0,0.008334977678081336,0.1517205329506899,-1,0.0,0.0,True,1036.7103248290791,0.24676504358759033,4798.106275377238,0.0,0.9222335079129804,347.0540678433227,0.0,347.0540678433227,1374.843353188275,1361.7938847454568,0.0046698011680561535,3.2239904665866926e-06
59,Ampara,PF,5.0,59,52103068061,helped,a,43493.30859375,0.0,3.241972232373575,0.0,60476.37786207795,184072.0639685005,1.0350000000000006,16971.876338469545,0.0,16971.876338469545,0.0,5576.06398464347,0.0,5576.06398464347,1.0350000000000006,23141.955994959455,0.0,23141.955994959455,1,36346.798828125,0,0,0.0,0.00813274414595051,0.1349530794070934,-1,0.0,0.0,True,835.5091034496811,0.22180722067301062,5039.698155173162,0.0,0.8531412010872571,280.03341843851035,0.0,280.03341843851035,1162.20349416174,1150.4598245731397,0.004467723230657583,3.2239904665866926e-06
60,Ampara,PF,5.0,60,52103068071,helped,a,43493.30859375,0.0,4.862958348560363,0.0,52360.93327150443,159371.07014880312,1.0350000000000006,15052.512042333965,0.0,15052.512042333965,0.0,4945.462045785761,0.0,4945.462045785761,1.0359178035746741,16014.13444337943,0.0,16014.13444337943,2,36346.798828125,0,0,0.0,0.008740299331567137,0.14101492460430393,-1,0.0,0.3082851637764933,True,777.373377218401,0.20669808740275286,4363.411105958702,0.0,1.1138961440684982,260.5529646734843,0.0,260.5529646734843,1082.0829627448593,1071.1390585640584,0.004167118393024083,3.2239904665866926e-06
61,Ampara,PF,5.0,61,52103068081,helped,a,43493.30859375,0.0,3.241972232373575,0.0,74836.00638684063,227778.49206183144,0.9050000000000006,25600.17023940421,0.0,25600.17023940421,0.0,8410.866566893445,0.0,8410.866566893445,0.9050000000000006,31579.02063355427,0.0,31579.02063355427,1,36346.798828125,0,0,0.0,0.0073109648177687924,0.17994838856684722,-1,0.0,0.0,True,1839.61201035384,0.3856720902221511,6236.333865570053,0.0,0.839776072463496,615.031109636051,0.0,615.031109636051,2309.165167109313,2288.796691507225,0.006784087082046142,3.2239904665866926e-06
62,Ampara,PF,5.0,62,52103068091,helped,a,43493.30859375,0.0,3.241972232373575,0.0,56740.753008174324,172701.9356410689,1.3350000000000009,11177.138063543323,0.0,11177.138063543323,0.0,3672.2184256223345,0.0,3672.2184256223345,1.3350000000000009,18593.69774045268,0.0,18593.69774045268,1,36346.798828125,0,0,0.0,0.008396193679850276,0.07658952531165017,-1,0.0,0.0,True,229.8717812233205,0.098915405851292,4728.396084014527,0.0,0.8943484967062357,77.49161455252175,0.0,77.49161455252175,392.36654561610686,392.36654561610686,0.0,3.2239904665866926e-06
63,Ampara,PF,5.0,63,52103068101,helped,a,43493.30859375,0.0,2.4314791742801813,0.0,44218.85499038566,134589.01131557365,0.6450000000000004,22752.078538689788,0.0,22752.078538689788,0.0,7475.13375570636,0.0,7475.13375570636,0.04904691050900585,7872.056162260662,0.0,7872.056162260662,2,36346.798828125,0,0,0.0,0.009511001481271127,0.23541407057209543,-1,2.90944123314066,2.90944123314066,True,20828.23398664179,1817.6203080626387,3684.9045825321386,7227.952080093391,6.431857539962491,6849.529775084953,0.0,6849.529775084953,7872.056162260658,7227.952080093391,12.33883622557346,3.2239904665866926e-06
64,Ampara,PF,5.0,64,52104072011,helped,a,43493.30859375,0.0,1.6209861161867876,0.0,605070.3868616446,1841653.8637589482,0.7550000000000004,251781.20268070232,0.0,251781.20268070232,0.0,82722.03192382466,0.0,82722.03192382466,0.7550000000000004,272816.839947755,0.0,272816.839947755,1,36346.798828125,0,0,0.0,0.0025711478243455113,0.23618240925757789,-1,0.0,0.0,True,27992.380160610555,4.292243357463121,50422.53223847038,0.0,0.8517714624643825,9331.58655788298,0.0,9331.58655788298,30775.524938325005,30549.493178466473,0.0628965242041204,3.2239904665866926e-06
