region,hazard,rp,c,di0,dc_post_reco
ARMM,PF,1000,17064.188999999995,5635.394253812957,3813.52
ARMM,PF,1000,15619.786999999995,1721.1978928878398,162.58
ARMM,PF,1000,45293.41800000001,3062.751299335121,0.35
ARMM,PF,1000,19939.238000000005,3616.514077199709,55.56
ARMM,PF,1000,14487.589999999998,3743.538731750728,2169.77
ARMM,PF,1000,14750.608,1733.3799512956707,163.49
ARMM,PF,1000,10870.834000000004,3643.3384998064416,2080.69
ARMM,PF,1000,14942.674999999996,5136.663800967607,3377.41
ARMM,PF,1000,28330.016000000003,6484.544112842984,100.18
ARMM,PF,1000,13812.413,2802.650756300963,1349.1
ARMM,PF,1000,10059.235999999997,2065.8507775259272,590.74
ARMM,PF,1000,12778.623999999998,4395.3874756527475,2732.8
ARMM,PF,1000,29874.576000000015,3972.474004672233,6.17
ARMM,PF,1000,18023.363,1205.7230456810512,0.34
ARMM,PF,1000,14838.758,5390.080102681278,3597.53
ARMM,PF,1000,52654.16,6669.38244843247,7.21
ARMM,PF,1000,32443.621,4648.801857698005,7.21
ARMM,PF,1000,15965.688999999997,2043.947530921156,442.03
ARMM,PF,1000,17331.016,1814.63312124654,58.01
ARMM,PF,1000,28648.33,2538.313825940188,0.69
ARMM,PF,1000,10255.123,936.7774276427035,2.21
ARMM,PF,1000,13014.177,2638.2089045463767,1205.77
ARMM,PF,1000,7873.442400000001,864.6858099411005,2.88
ARMM,PF,1000,8486.358400000001,1082.6588334071064,9.88
ARMM,PF,1000,16986.866999999995,1345.3534384505265,4.31
ARMM,PF,1000,9696.466800000002,1079.2334286560915,7.74
ARMM,PF,1000,8711.3311,929.5187889916684,29.51
ARMM,PF,1000,10868.478000000001,2897.929562918315,1431.07
ARMM,PF,1000,12342.451000000005,839.1081827241678,0.33
ARMM,PF,1000,13108.972000000002,1218.8031564091702,7.45
ARMM,PF,1000,19434.691000000006,2704.6248735261856,10.94
ARMM,PF,1000,19066.564,4120.543410420156,3540.49
ARMM,PF,1000,28151.27000000001,2052.4610039678887,0.34
ARMM,PF,1000,15792.003999999999,4898.425493315721,3176.25
ARMM,PF,1000,15584.365000000005,5115.212303303009,3364.61
ARMM,PF,1000,15020.54,5765.253929132541,3922.76
ARMM,PF,1000,11591.718000000004,3409.4659069935315,1877.41
ARMM,PF,1000,16132.846,4786.8440469987345,3076.85
ARMM,PF,1000,11302.903,2793.9797816038013,1341.77
ARMM,PF,1000,39007.621,3788.987112792538,0.91
ARMM,PF,1000,21774.102000000006,1942.792382444908,0.35
ARMM,PF,1000,14438.618,2064.087537700773,652.9
ARMM,PF,1000,12669.295,1484.1117681269825,51.2
ARMM,PF,1000,13252.528000000002,1196.4719086504329,6.39
ARMM,PF,1000,11165.503000000002,1859.9706212763974,311.74
ARMM,PF,1000,13535.723999999998,870.9728895371655,0.33
ARMM,PF,1000,13442.678,1878.0751435810555,323.66
ARMM,PF,1000,10541.116000000002,1170.9675780636928,9.46
ARMM,PF,1000,13617.342999999995,868.7936153502792,0.36
ARMM,PF,1000,115887.63000000006,19022.40496811991,60.55
ARMM,PF,1000,31989.949000000004,3059.244453879445,0.76
ARMM,PF,1000,86130.102,9309.718272424709,3.72
ARMM,PF,1000,47048.687999999995,4149.8733905949075,0.52
ARMM,PF,1000,26999.949,1679.8836827468115,0.34
ARMM,PF,1000,30421.097999999994,3559.129333379545,2.44
ARMM,PF,1000,13415.06,1609.3986508457501,98.62
ARMM,PF,1000,62799.984000000004,10400.112172584852,43.32
ARMM,PF,1000,29728.338,10780.680539014931,986.73
ARMM,PF,1000,32550.324,3771.13408138182,2.58
ARMM,PF,1000,26072.53100000001,2079.3190831949073,0.36
ARMM,PF,1000,22811.916,4987.106836595321,86.47
ARMM,PF,1000,46237.68400000001,9979.060916827622,131.92
ARMM,PF,1000,47098.539000000004,10674.199958815292,168.11
ARMM,PF,1000,11640.143,2286.533915996678,899.67
ARMM,PF,1000,25029.734,2707.0915390249193,1.08
ARMM,PF,1000,21517.90200000001,4824.485372359232,139.8
